"estimator","time","coef","se"
"TWFE",-6,-0.00666297902128244,0.00720863245513146
"TWFE",-5,-0.00408383943888568,0.00245574444459409
"TWFE",-4,-0.00304316494665236,0.00205888727376957
"TWFE",-3,-0.00293134938887565,0.00170525726376962
"TWFE",-2,-0.00200240663075086,0.00134277133048283
"TWFE",-1,0,0
"TWFE",0,-0.00187426590344624,0.0023791764573194
"TWFE",1,-0.003666736385448,0.00207008793120524
"TWFE",2,-0.00751367194767234,0.00247599124341567
"TWFE",3,-0.00749976634790824,0.00191960102525391
"TWFE",4,-0.0107129166296407,0.00186049245691209
"TWFE",5,-0.0295545332418281,0.00502100884410656
"CS-NT",-6,-0.00320211487141643,0.00318140922030535
"CS-NT",-5,-0.00371281110202965,0.00278774973843226
"CS-NT",-4,-0.00258198183064683,0.0024524835636315
"CS-NT",-3,-0.00181921169590926,0.00191847854624754
"CS-NT",-2,-0.00167709266415399,0.00128857769661657
"CS-NT",-1,0,NA
"CS-NT",0,-0.00291253594831891,0.00300273270766147
"CS-NT",1,-0.00434276906844966,0.0026633970158023
"CS-NT",2,-0.00849851074423595,0.00287862786526614
"CS-NT",3,-0.00856796763965833,0.00268136920161209
"CS-NT",4,-0.0113786812844916,0.00215187379278997
"CS-NT",5,-0.0126273041902989,0.00282271299678773
"CS-NYT",-6,-0.00269412518477215,0.00267690104108153
"CS-NYT",-5,-0.00322722903531503,0.00239722410354251
"CS-NYT",-4,-0.00221058340779352,0.00216706210065739
"CS-NYT",-3,-0.00170872093959142,0.00177394670649604
"CS-NYT",-2,-0.00141323750144564,0.00131909002695017
"CS-NYT",-1,0,NA
"CS-NYT",0,-0.00275660524226659,0.00283416501780279
"CS-NYT",1,-0.0042941498406163,0.00261307569052968
"CS-NYT",2,-0.00835730082626262,0.00319889442224773
"CS-NYT",3,-0.00838761391474155,0.00253993385919158
"CS-NYT",4,-0.0112922273301481,0.00219951739555054
"CS-NYT",5,-0.0127776224847394,0.0026509123497403
"SA",-6,-0.00365835327852472,0.000819858552850622
"SA",-5,-0.00363385531878237,0.000681752828954743
"SA",-4,-0.00252961180974065,0.000581996905066144
"SA",-3,-0.00219021155528131,0.00068564625540962
"SA",-2,-0.00156461942567691,0.000493671714471652
"SA",0,-0.00194558975256986,0.000496869726891133
"SA",1,-0.00337582287270043,0.000466438631384005
"SA",2,-0.00753156454848641,0.000638041098260813
"SA",3,-0.00760102144390937,0.000672325260948308
"SA",4,-0.010895208186591,0.000844356529380497
"SA",5,-0.0121438310923985,0.00100025884538574
"Gardner",-6,-0.000249173856026633,0.000703590592336844
"Gardner",-5,0.000319030242211376,0.00531870940411039
"Gardner",-4,0.00138187935785903,0.00513156378109062
"Gardner",-3,0.00157828244959834,0.00525501878300133
"Gardner",-2,0.00220675505053106,0.00519586663095441
"Gardner",0,0.00177675789521349,0.00639289648917356
"Gardner",1,0.000177870158514151,0.00635228820554771
"Gardner",2,-0.00386260705680609,0.0062463872121077
"Gardner",3,-0.00389292014528495,0.00582202643771491
"Gardner",4,-0.0071010918894311,0.00554644096862645
"Gardner",5,-0.0288086532154777,0.0084465421024153
