"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0,0.25,-0.00187426590344624,-0.0051386101461187,-0.00751367194767234
"CS-NT","full_IF",2,3,0,0,0,-0.00169068123706115,-0.00305247887665793,-0.00492346127818649
