"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",2,5,0,0.25,0.25,5,-0.131778761069287,-0.331272841227393,-0.564381469055632
"CS-NT","full_IF",2,5,0,0,0,5,-0.159662828944033,-0.403015667918745,-0.668018025474114
