"estimator","time","coef","se"
"TWFE",-3,0.0938635889727519,0.0947866258746737
"TWFE",-2,0.0613503885935497,0.0675398707667769
"TWFE",-1,0,0
"TWFE",0,-0.131778761069287,0.0989298500792231
"TWFE",1,-0.225825003366675,0.0912395826054997
"TWFE",2,-0.289633437247293,0.130963690636282
"TWFE",3,-0.44474553539808,0.117702874294739
"TWFE",4,-0.564381469055632,0.108557991114384
"CS-NT",-3,0.223657095751484,0.0900342659700197
"CS-NT",-2,0.144149542854499,0.0672633750528818
"CS-NT",-1,0,NA
"CS-NT",0,-0.159662828944033,0.0891198236669953
"CS-NT",1,-0.273062682373249,0.091563505702778
"CS-NT",2,-0.363900903082733,0.128407948954362
"CS-NT",3,-0.550433899719598,0.13077895611119
"CS-NT",4,-0.668018025474114,0.124134681355635
"SA",-3,0.112053237737956,0.103813941446906
"SA",-2,0.0848044602578348,0.0660574939033183
"SA",0,-0.131689479109795,0.105347156117366
"SA",1,-0.241328190767672,0.1042686546386
"SA",2,-0.352095175939048,0.146522619147251
"SA",3,-0.51906218561992,0.138257177634736
"SA",4,-0.64023195224036,0.130575356850096
"Gardner",-3,0.0181771154193875,0.0257792026249745
"Gardner",-2,0.00751022394125408,0.0195688162783569
"Gardner",0,-0.196006093075527,0.0994209606109307
"Gardner",1,-0.304330511291734,0.098532075772055
"Gardner",2,-0.410328873367246,0.135733971565697
"Gardner",3,-0.575636635237562,0.135602811810389
"Gardner",4,-0.697093052124493,0.128910089964912
