"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",3,1,0,0,0,-0.0299055242594387,-0.0299055242594387,-0.0299055242594387
"CS-NT","full_IF",2,1,0,0,0,-0.0299055242594536,-0.0299055242594536,-0.0299055242594536
