"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",4,6,0,0,0,-2.62619400679778,-3.95338902564947,-6.02201840710046
"CS-NT","full_IF",4,6,0.25,0.25,0.25,-5.09973657265987,-9.15608556170005,-13.5283838877037
