"treated","untreated","estimate","weight","type"
221,81,-1.69047619047662,4.56429001098404e-06,"Later vs Earlier Treated"
170,81,-1.789029195904,4.63649001517564e-05,"Later vs Earlier Treated"
204,81,-34.408968105064,2.71514126769474e-05,"Later vs Earlier Treated"
76,81,3.23777777777645,7.64111050945988e-07,"Earlier vs Later Treated"
118,81,3.49205087440483,4.74217506364426e-05,"Later vs Earlier Treated"
146,81,2.51257337040382,6.59580659176577e-05,"Later vs Earlier Treated"
144,81,-5.20937950937863,4.00088546275319e-05,"Later vs Earlier Treated"
119,81,21.5767942583735,2.83909706040376e-06,"Later vs Earlier Treated"
191,81,10.9144736842106,1.1356388241615e-05,"Later vs Earlier Treated"
183,81,0.163327649899507,4.7802787347181e-05,"Later vs Earlier Treated"
200,81,16.8917705013035,2.34395309939076e-06,"Later vs Earlier Treated"
114,81,-3.7716732542819,2.57760127852447e-06,"Later vs Earlier Treated"
173,81,2.35403726708026,6.99857801684219e-06,"Later vs Earlier Treated"
166,81,6.56087768440712,3.6371686025029e-06,"Later vs Earlier Treated"
185,81,-5.25000000000033,1.2432256601347e-05,"Later vs Earlier Treated"
115,81,-4.89551083591359,2.63261727419258e-06,"Later vs Earlier Treated"
192,81,-28.7424924924924,3.34741769198418e-05,"Later vs Earlier Treated"
109,81,-4.55650793650495,3.42321750823803e-05,"Later vs Earlier Treated"
96,81,-17.4578947368425,1.35502359701089e-06,"Later vs Earlier Treated"
89,81,-14.5107142857146,1.52143000366135e-06,"Later vs Earlier Treated"
128,81,-5.55287550031564,3.22420903008054e-06,"Later vs Earlier Treated"
91,81,-5.59800724637984,7.49847644661663e-06,"Later vs Earlier Treated"
179,81,-24.1173469387753,3.32812813300919e-06,"Later vs Earlier Treated"
152,81,19.3290881653565,2.97059208214878e-05,"Later vs Earlier Treated"
205,81,-6.54099462365709,2.02132843343579e-05,"Later vs Earlier Treated"
82,81,-18.2579365079105,1.19812612788332e-06,"Later vs Earlier Treated"
100,81,2.76744186046575,3.32948655265532e-06,"Later vs Earlier Treated"
174,81,-1.02192896709,1.04224747349033e-05,"Later vs Earlier Treated"
225,81,-56.1527777777795,3.91224858084346e-07,"Later vs Earlier Treated"
172,81,2.18543152753659,1.05691840566849e-05,"Later vs Earlier Treated"
197,81,-3.07507183908034,7.56368058963069e-06,"Later vs Earlier Treated"
120,81,51.8476828981412,8.66196287352372e-06,"Later vs Earlier Treated"
202,81,-24.0603509845931,6.65693547584145e-06,"Later vs Earlier Treated"
92,81,9.83974784339756,1.02356920335609e-06,"Later vs Earlier Treated"
145,81,39.0316220238084,1.46057280351489e-05,"Later vs Earlier Treated"
177,81,23.0380608974364,6.781230873462e-06,"Later vs Earlier Treated"
83,81,77.6130136986259,1.98329268334425e-07,"Later vs Earlier Treated"
126,81,18.8773462783172,9.44441258969241e-06,"Later vs Earlier Treated"
75,81,-107.94144144144,6.03138322880033e-07,"Earlier vs Later Treated"
137,81,-4.04632505175975,2.09957340505266e-05,"Later vs Earlier Treated"
203,81,5.81010928961727,6.46336067626846e-06,"Later vs Earlier Treated"
71,81,-3.90714285714292,4.7544687614417e-07,"Earlier vs Later Treated"
142,81,-32.4975504051257,3.60456653099587e-06,"Later vs Earlier Treated"
190,81,-24.7571159727119,5.77464191568248e-06,"Later vs Earlier Treated"
99,81,-8.06623931623881,1.58935098596766e-06,"Later vs Earlier Treated"
72,81,11.8822378716735,1.73606030774928e-06,"Earlier vs Later Treated"
139,81,15.1758620689656,1.41819011055575e-05,"Later vs Earlier Treated"
135,81,-22.2811268715523,6.8953381237366e-06,"Later vs Earlier Treated"
78,81,13.982683982687,6.27589876510305e-07,"Earlier vs Later Treated"
180,81,-3.44361987219154,6.5896937033582e-06,"Later vs Earlier Treated"
97,81,-5.08106060606165,7.17245573154634e-06,"Later vs Earlier Treated"
167,81,-1.49081020255066,3.62154677657245e-06,"Later vs Earlier Treated"
188,81,-78.4402780943699,5.95938698755564e-06,"Later vs Earlier Treated"
103,81,-4.48598227169566,2.63587748134328e-05,"Later vs Earlier Treated"
181,81,-37.5121296296317,2.93418643563259e-05,"Later vs Earlier Treated"
117,81,-40.3511904761906,2.73857400659042e-06,"Later vs Earlier Treated"
228,81,-10.1092214664118,1.79718919182496e-06,"Later vs Earlier Treated"
