"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",4,6,0.25,0.25,0.25,5,-0.111904855082189,-0.199219653091935,-0.323177403162751
"CS-NT","full_IF",4,6,0,0.25,0,5,-0.12726930179314,-0.186739828628894,-0.239414264281412
