"estimator","time","coef","se"
"TWFE",-6,0.000672677529699555,0.00834248558951033
"TWFE",-5,-0.00531619609578321,0.00733770839451755
"TWFE",-4,-0.00777485331830904,0.00571083339022939
"TWFE",-3,-0.00828285034231716,0.00532141453164879
"TWFE",-2,-0.00480069274192189,0.00545153074420439
"TWFE",-1,0,0
"TWFE",0,-0.00246160459711768,0.00317019024953158
"TWFE",1,0.0141554341928838,0.00509929676114298
"TWFE",2,0.0220144986149969,0.00715406170549886
"TWFE",3,0.0325472678873099,0.00920193068411005
"TWFE",4,0.0372378944743886,0.00968005245699363
"TWFE",5,0.0486429447666024,0.0100345064239889
"CS-NT",-6,0.000323138164244833,0.00732392253223586
"CS-NT",-5,-0.00706023993516539,0.00755965548014331
"CS-NT",-4,-0.00602486423554936,0.0060868403213786
"CS-NT",-3,-0.00183960938839711,0.00347421887278486
"CS-NT",-2,-0.0071998820894561,0.00356924875590142
"CS-NT",-1,0,NA
"CS-NT",0,-0.005161783384657,0.00310937028104504
"CS-NT",1,0.00368332395286271,0.00669940121201961
"CS-NT",2,0.00534549843680162,0.0100700001986406
"CS-NT",3,0.0157173443677897,0.0111917287148587
"CS-NT",4,0.0406940122245415,0.0175146662373845
"CS-NT",5,0.048756901291242,0.0178756840926533
"CS-NYT",-6,-0.00173659132753689,0.00650866232898244
"CS-NYT",-5,-0.00842953418542008,0.00698817371538665
"CS-NYT",-4,-0.00656435111208667,0.00564375683785285
"CS-NYT",-3,-0.00168921071224531,0.00309042355341286
"CS-NYT",-2,-0.00711735564553967,0.00357875044911346
"CS-NYT",-1,0,NA
"CS-NYT",0,-0.00512860060479196,0.00286029316632155
"CS-NYT",1,0.0034549698743156,0.00685187218505117
"CS-NYT",2,0.00470582630665027,0.00932585358419831
"CS-NYT",3,0.0154219294361401,0.0113604409335446
"CS-NYT",4,0.0407454123763749,0.0179599699775774
"CS-NYT",5,0.0488289518564986,0.0186003410894842
"SA",-6,0.0115744347159085,0.00487432026965011
"SA",-5,0.00414306987575197,0.00492399632499602
"SA",-4,0.00860359611945684,0.00622540890293991
"SA",-3,-0.00313251195118007,0.00354523657645193
"SA",-2,-0.00793065455645042,0.00284151761954212
"SA",0,-0.00157235108713301,0.00344234513971792
"SA",1,-0.00631241713977343,0.00580067696271444
"SA",2,-0.0135243149787821,0.0122411848936791
"SA",3,-0.0115875755670946,0.0111205792749138
"SA",4,0.0365947247228815,0.011761397431276
"SA",5,0.0437809375878128,0.0119055307569816
"Gardner",-6,0.000909260063413616,0.00129504562623014
"Gardner",-5,-0.00068453300423766,0.00144351274442931
"Gardner",-4,-0.00176791493520875,0.00125826737838179
"Gardner",-3,-0.00178587305706631,0.00112233824279515
"Gardner",-2,-0.00052280837570344,0.00144640806443391
"Gardner",0,-0.00982539226803429,0.00608350956071456
"Gardner",1,-0.0161607405552483,0.0116379650372642
"Gardner",2,-0.0203378326419433,0.0207907904253726
"Gardner",3,-0.0235114641523018,0.0213352644881583
"Gardner",4,0.0432445548653165,0.0143674217079838
"Gardner",5,0.0588923306236585,0.0160582628709239
