"treated","untreated","estimate","weight","type"
1903,99999,-0.20091392955406,0.029395899420495,"Treated vs Untreated"
1902,99999,-0.0698507292704215,0.0278716675986915,"Treated vs Untreated"
1910,99999,0.284739251976615,0.0696791689967288,"Treated vs Untreated"
1905,99999,0.0185573250430369,0.113228649619684,"Treated vs Untreated"
1908,99999,-0.0210418320748442,0.121938545744275,"Treated vs Untreated"
1909,99999,-0.0857511048363636,0.105825237913782,"Treated vs Untreated"
1906,99999,-0.00204644545068046,0.109744691169848,"Treated vs Untreated"
1911,99999,-0.300896100817749,0.0335331000796758,"Treated vs Untreated"
1904,99999,-0.0838820487133838,0.0365815637232826,"Treated vs Untreated"
1913,99999,-0.15579121586321,0.0707679060123027,"Treated vs Untreated"
1914,99999,-0.353806202597474,0.0121938545744275,"Treated vs Untreated"
1912,99999,0.0491037700211599,0.031355626048528,"Treated vs Untreated"
1907,99999,0.0374128059665674,0.117365850278865,"Treated vs Untreated"
1903,1900,-0.276425730580034,0.00146979497102475,"Later vs Always Treated"
1902,1900,-0.158630814403303,0.00139358337993458,"Later vs Always Treated"
1910,1900,0.228957918015392,0.00348395844983644,"Later vs Always Treated"
1905,1900,-0.0349617801346044,0.00566143248098422,"Later vs Always Treated"
1908,1900,-0.0596645209696392,0.00609692728721377,"Later vs Always Treated"
1909,1900,-0.116491389997082,0.0052912618956891,"Later vs Always Treated"
1906,1900,-0.0373297733661937,0.0054872345584924,"Later vs Always Treated"
1911,1900,-0.366654449820944,0.00167665500398379,"Later vs Always Treated"
1904,1900,-0.130623267326518,0.00182907818616413,"Later vs Always Treated"
1913,1900,-0.219868362133318,0.00353839530061514,"Later vs Always Treated"
1914,1900,-0.414530888006273,0.000609692728721378,"Later vs Always Treated"
1912,1900,-0.0102809577277234,0.0015677813024264,"Later vs Always Treated"
1907,1900,0.00237681443865556,0.00586829251394326,"Later vs Always Treated"
1902,1903,-0.0534188350041704,2.37542621579757e-05,"Earlier vs Later Treated"
1910,1903,0.303317457437516,0.000665119340423321,"Later vs Earlier Treated"
1905,1903,0.0930690788305715,0.000617610816107369,"Later vs Earlier Treated"
1908,1903,-0.00102160317557108,0.00103924896941144,"Later vs Earlier Treated"
1909,1903,-0.0710752496012939,0.000962047617398018,"Later vs Earlier Treated"
1906,1903,0.104062040646871,0.000748259257976236,"Later vs Earlier Treated"
1911,1903,-0.279336120401111,0.00033255967021166,"Later vs Earlier Treated"
1904,1903,0.156487385431926,0.000124709876329373,"Later vs Earlier Treated"
1913,1903,-0.196532988548281,0.000742320692436742,"Later vs Earlier Treated"
1914,1903,-0.39777653325688,0.000130648441868867,"Later vs Earlier Treated"
1912,1903,-0.0272813770506115,0.000320682539132673,"Later vs Earlier Treated"
1907,1903,0.0856724683340509,0.000914539093082066,"Later vs Earlier Treated"
1903,1902,-0.202339494228364,0.000178156966184818,"Later vs Earlier Treated"
1910,1902,0.328234858810902,0.00101351518540696,"Later vs Earlier Treated"
1905,1902,0.0704342096279832,0.00123522163221474,"Later vs Earlier Treated"
1908,1902,0.0148193549542211,0.0016627983510583,"Later vs Earlier Treated"
1909,1902,-0.0399082151670303,0.00149651851595247,"Later vs Earlier Treated"
1906,1902,0.0985005476645056,0.00133023868084664,"Later vs Earlier Treated"
1911,1902,-0.252990897685762,0.000498839505317491,"Later vs Earlier Treated"
1904,1902,-0.0270104337306263,0.00033255967021166,"Later vs Earlier Treated"
1913,1902,-0.132411594174124,0.00108873701557389,"Later vs Earlier Treated"
1914,1902,-0.335489784677824,0.000190034097263806,"Later vs Earlier Treated"
1912,1902,0.062582419315975,0.000475085243159515,"Later vs Earlier Treated"
1907,1902,0.0831769833317048,0.00152423182180344,"Later vs Earlier Treated"
1903,1910,-0.203650580512152,0.000249419752658745,"Earlier vs Later Treated"
1902,1910,-0.0604310631752016,0.000253378796351741,"Earlier vs Later Treated"
1905,1910,-0.00261054039001469,0.000791808738599191,"Earlier vs Later Treated"
1908,1910,-0.0184700850929541,0.000443412893615547,"Earlier vs Later Treated"
1909,1910,-0.0954825613233781,0.000213788359421782,"Earlier vs Later Treated"
