"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0,0,-0.0352783038759954,-0.0245775541516404,-0.0352783038759954
"CS-NT","full_IF",2,4,0,0,0,-0.05693726488181,-0.0218206782599994,-0.05693726488181
