"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",5,5,0,0.25,0.5,4,-0.0345633418652172,-0.351769718142735,-0.556233347279337
"CS-NT","full_IF",5,5,0,0.25,0.25,4,-0.0345633418654518,-0.351769718142904,-0.556233347279699
