"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",3,5,0,1,1.75,5,0.00420567953306568,0.0496846800450431,0.133107800510626
"CS-NT","full_IF",3,5,0,1,1.5,5,0.00308106270064177,0.0461659254009401,0.112723276602396
