"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.00305816367984402,0.0114121717808814
"TWFE","first",0.25,-0.00469912955683349,0.0132023163739608
"TWFE","first",0.5,-0.00693681029818277,0.0154399971153101
"TWFE","first",0.75,-0.00947284847171197,0.0181252140049292
"TWFE","first",1,-0.0123072440774211,0.0209596096106383
"TWFE","first",1.25,-0.0154399971153101,0.0240923626485273
"TWFE","first",1.5,-0.0185727501531991,0.0273742944025062
"TWFE","first",1.75,-0.021854681907178,0.0305070474403952
"TWFE","first",2,-0.025136613661157,0.0339381579104641
"TWFE","avg",0,0.0404691880865835,0.0589254448861655
"TWFE","avg",0.25,0.0337403444617359,0.0650775304860262
"TWFE","avg",0.5,0.0250889740869318,0.073344395510839
"TWFE","avg",0.75,0.0152840876621539,0.0829570292606213
"TWFE","avg",1,0.00509469588738462,0.0931464210353905
"TWFE","avg",1.25,-0.00509469588738462,0.0960302111603252
"TWFE","avg",1.5,-0.0152840876621539,0.0960302111603252
"TWFE","avg",1.75,-0.0256657321119187,0.0960302111603252
"TWFE","avg",2,-0.0360473765616836,0.0960302111603252
"TWFE","peak",0,0.117632718591154,0.1485970977047
"TWFE","peak",0.25,0.106779224881251,0.158492930204906
"TWFE","peak",0.5,0.0917758659293263,0.159450591414603
"TWFE","peak",0.75,0.0754956253644719,0.159450591414603
"TWFE","peak",1,0.0585769439931526,0.159450591414603
"TWFE","peak",1.25,0.0416582626218333,0.159450591414603
"TWFE","peak",1.5,0.0244203608472816,0.159450591414603
"TWFE","peak",1.75,0.00686323866949742,0.159450591414603
"TWFE","peak",2,-0.0103746631050543,0.159450591414603
"CS-NT","first",0,-0.00416600857889028,0.0103771486419631
"CS-NT","first",0.25,-0.0058324120104464,0.0120435520735192
"CS-NT","first",0.5,-0.00810478032620474,0.0143159203892775
"CS-NT","first",0.75,-0.0108316223051147,0.0171942535892381
"CS-NT","first",1,-0.0138614467261259,0.0202240780102492
"CS-NT","first",1.25,-0.016891271147137,0.0234053936523109
"CS-NT","first",1.5,-0.0202240780102492,0.0267382005154231
"CS-NT","first",1.75,-0.0235568848733614,0.0300710073785353
"CS-NT","first",2,-0.0268896917364737,0.0335553054626981
"CS-NT","avg",0,0.03638062561115,0.0559314327262832
"CS-NT","avg",0.25,0.0301324295228084,0.0619780741020976
"CS-NT","avg",0.5,0.0210624674590868,0.0706449267407649
"CS-NT","avg",0.75,0.0111862865452566,0.0805211076545951
"CS-NT","avg",1,0.000906996206372163,0.0908003979934796
"CS-NT","avg",1.25,-0.00957384884503946,0.10067657890731
"CS-NT","avg",1.5,-0.0202562486089782,0.10067657890731
"CS-NT","avg",1.75,-0.0307370936603899,0.10067657890731
"CS-NT","avg",2,-0.0414194934243286,0.10067657890731
"CS-NT","peak",0,0.0985314039620747,0.126725188702341
"CS-NT","peak",0.25,0.087665049426764,0.137004172722229
"CS-NT","peak",0.5,0.0720997307680755,0.146695786226695
"CS-NT","peak",0.75,0.0550659858208316,0.146695786226695
"CS-NT","peak",1,0.0377385556158766,0.146695786226695
"CS-NT","peak",1.25,0.0201174401532105,0.146695786226695
"CS-NT","peak",1.5,0.00249632469054437,0.146695786226695
"CS-NT","peak",1.75,-0.0151247907721218,0.146695786226695
"CS-NT","peak",2,-0.0327459062347879,0.146695786226695
