"estimator","time","coef","se"
"TWFE",-5,-0.000584466590962079,0.0261884676742717
"TWFE",-4,-0.058656503776467,0.0559005762146018
"TWFE",-3,-0.0264272268821733,0.0251615996629141
"TWFE",-2,0.00573167059576279,0.019994696687994
"TWFE",-1,0,0
"TWFE",0,0.0420659686780603,0.0234558284569919
"TWFE",1,0.0678594971027257,0.0214115067761997
"TWFE",2,0.0673070090625609,0.0227931895511744
"TWFE",3,0.0612065509199948,0.0230870263338823
"TWFE",4,0.0567316592597334,0.0245581894554545
"CS-NT",-5,-0.0121159913230115,0.0286091457085705
"CS-NT",-4,-0.0470505506649845,0.0371979253849227
"CS-NT",-3,-0.0329824309302922,0.0263800284907684
"CS-NT",-2,-0.00327174868528524,0.0157307470317755
"CS-NT",-1,0,NA
"CS-NT",0,0.0438126772245795,0.0151380364302614
"CS-NT",1,0.0614182186946384,0.0169834910274602
"CS-NT",2,0.0666993846622366,0.0199762928676728
"CS-NT",3,0.074599784659868,0.0195210606225861
"CS-NT",4,0.0459325870918116,0.0214842752107208
"CS-NYT",-5,-0.013522835983003,0.0281097670111836
"CS-NYT",-4,-0.0498211974315616,0.0400941114071257
"CS-NYT",-3,-0.0330969773618021,0.027257179849265
"CS-NYT",-2,-0.00260705165320902,0.015743184341076
"CS-NYT",-1,0,NA
"CS-NYT",0,0.0438038454635592,0.0147658334450432
"CS-NYT",1,0.0607083813166929,0.0173574774702839
"CS-NYT",2,0.0681380539936171,0.0218722406108725
"CS-NYT",3,0.0758462110798124,0.0196579520941088
"CS-NYT",4,0.0474952748712941,0.0234334218629759
"SA",-5,0.0124207121886046,0.0281441258866664
"SA",-4,-0.056349467308725,0.0480932215097684
"SA",-3,-0.0242942019186,0.022967656362542
"SA",-2,0.00732844415041086,0.0181406375271915
"SA",0,0.0417333532669,0.021322089772142
"SA",1,0.0680155113354512,0.0198052277196003
"SA",2,0.0644465124944484,0.0207667525930998
"SA",3,0.0580112468687347,0.020408229023662
"SA",4,0.0437006679328355,0.0215562397978687
"Gardner",-5,0.00956297852607999,0.0108498282746245
"Gardner",-4,-0.0400388914079303,0.0397355484223126
"Gardner",-3,-0.0156631503390912,0.0148189725830486
"Gardner",-2,0.0165664867961657,0.0123309411382464
"Gardner",0,0.0448052085393075,0.0223293444779488
"Gardner",1,0.0731232647324146,0.0157335836266253
"Gardner",2,0.0762945884444096,0.0168127729666129
"Gardner",3,0.0600461646786932,0.0185947232813318
"Gardner",4,0.0494203233939401,0.0230711248684496
