"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",3,5,0,0,0,2,0.0420659686780603,0.059034137004615,0.0678594971027257
"CS-NT","full_IF",3,5,0.25,0,0,4,0.0438126772245795,0.0584925304666268,0.074599784659868
