"treated","untreated","estimate","weight","type"
2004,99999,0.0110134979265184,0.0605957764015509,"Treated vs Untreated"
2009,99999,0.12869773811349,0.0537098927195565,"Treated vs Untreated"
2007,99999,-0.00148783296128696,0.0656454244350134,"Treated vs Untreated"
2002,99999,0.0890379089205553,0.0984681366525202,"Treated vs Untreated"
2010,99999,-0.0784318617094303,0.0482011857739609,"Treated vs Untreated"
2003,99999,-0.0121182357132021,0.0723017786609414,"Treated vs Untreated"
2006,99999,0.00916697812021694,0.0877950169454288,"Treated vs Untreated"
2001,99999,0.0194643282600519,0.116486198953739,"Treated vs Untreated"
2005,99999,0.0714652644757736,0.0309864765689749,"Treated vs Untreated"
2008,99999,0.0948797874756861,0.0867621343931297,"Treated vs Untreated"
2000,99999,0.113873646901128,0.216905335982824,"Treated vs Untreated"
2009,2004,0.0488380379146925,0.000230811743530539,"Later vs Earlier Treated"
2007,2004,-0.0955990122424271,0.000200036844393134,"Later vs Earlier Treated"
2002,2004,0.169939180215202,0.000169261945255729,"Earlier vs Later Treated"
2010,2004,-0.0680430677202099,0.000230811743530539,"Later vs Earlier Treated"
2003,2004,0.0166637681779427,6.73200918630739e-05,"Earlier vs Later Treated"
2006,2004,0.0794738442809516,0.000196189982000958,"Later vs Earlier Treated"
2001,2004,0.0221898489071454,0.000278897523432735,"Earlier vs Later Treated"
2005,2004,-0.0493784666061454,3.84686239217565e-05,"Later vs Earlier Treated"
2008,2004,0.125741973282804,0.000323136440942755,"Later vs Earlier Treated"
2000,2004,0.0688275453590172,0.00064627288188551,"Earlier vs Later Treated"
2004,2009,-0.0952354252338404,0.000307748991374052,"Earlier vs Later Treated"
2007,2009,0.0205116460929111,0.000183367107360373,"Earlier vs Later Treated"
2002,2009,0.0585371273936649,0.000592416808395051,"Earlier vs Later Treated"
2010,2009,-0.0440430323282878,3.84686239217565e-05,"Later vs Earlier Treated"
2003,2009,-0.0938592074409354,0.000403920551178444,"Earlier vs Later Treated"
2006,2009,-0.0557391666119396,0.00032698330333493,"Earlier vs Later Treated"
2001,2009,-0.026354150011628,0.00074372672915396,"Earlier vs Later Treated"
2005,2009,-0.0316768730128246,0.000138487046118324,"Earlier vs Later Treated"
2008,2009,-0.0321013916421809,0.000138487046118324,"Earlier vs Later Treated"
2000,2009,0.0922043172665558,0.0014541139842424,"Earlier vs Later Treated"
2004,2007,-0.116296470292615,0.000200036844393134,"Earlier vs Later Treated"
2009,2007,0.198365793268903,0.000100018422196567,"Later vs Earlier Treated"
2002,2007,0.166527873763949,0.000458417768400932,"Earlier vs Later Treated"
2010,2007,0.100883875545272,0.000125023027745709,"Later vs Earlier Treated"
2003,2007,-0.036801333217831,0.00029172039807332,"Earlier vs Later Treated"
2006,2007,-0.0860884137822507,0.000118077303982058,"Earlier vs Later Treated"
