"estimator","time","coef","se"
"TWFE",-5,-0.00369569650868963,0.00567061760283538
"TWFE",-4,-0.00454254152255149,0.00383271726684298
"TWFE",-3,-0.00131416018310939,0.00307402881813278
"TWFE",-2,0.00045920654499969,0.00262660049476246
"TWFE",-1,0,0
"TWFE",0,-0.0055671892091235,0.0026574711389794
"TWFE",1,-0.00690524153533389,0.00327610219719313
"TWFE",2,-0.00990771421768583,0.00377546296035275
"TWFE",3,-0.00803058470442972,0.00416794994168418
"TWFE",4,-0.0106017998523458,0.00535673726011504
"CS-NYT",-5,0.00524203554062161,0.00625420979603178
"CS-NYT",-4,0.00109621002875928,0.00552073952226792
"CS-NYT",-3,0.00165001160037821,0.00391374323958281
"CS-NYT",-2,0.00177424935459078,0.00347763808606901
"CS-NYT",-1,0,NA
"CS-NYT",0,-0.00448731091507289,0.00363366048201927
"CS-NYT",1,-0.00894322157746732,0.00547370017883938
"CS-NYT",2,-0.014266699120528,0.00586805506920453
"CS-NYT",3,-0.0209004338929747,0.00753990809586194
"CS-NYT",4,-0.0209919631448326,0.00949609185261856
"Gardner",-5,0.000676064292524317,0.000369548161421731
"Gardner",-4,-0.00366609805195629,0.00205113559201925
"Gardner",-3,-0.00239938591121891,0.00209019948502385
"Gardner",-2,-0.00130274210850809,0.00234019372405602
"Gardner",0,-0.0106015298757746,0.00353347643091894
"Gardner",1,-0.00875286058705216,0.0058757898901134
"Gardner",2,-0.0157397056797808,0.00643710813567762
"Gardner",3,-0.018135869439757,0.0088255787234702
"Gardner",4,-0.0172558435225337,0.0412979010677769
