"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full_IF",3,4,0.25,0.25,0.25,-0.00653180976578282,-0.010174439134845,-0.0129627593673253
"CS-NYT","full_IF",3,4,0,0.25,0.5,-0.00448731091507289,-0.0121494163765107,-0.0209004338929747
