"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",4,6,0,0,0,6,-0.016179127727035,-0.010262961918106,-0.0211193839485662
"CS-NT","full_IF",4,6,0,0,0,1,-0.0191988461931676,0.000342881410886113,-0.0191988461931676
