"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",4,6,0,0,0,2,-0.0179500987015883,-0.0106224008284039,-0.0201470281775375
"CS-NYT","full_IF",4,6,0,0,0,6,-0.00971543547783102,-0.00337443505275507,-0.0170391585482522
