"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",5,7,1.75,0.5,0.25,7,0.111655384069374,0.17637444923294,0.214546281636816
"CS-NYT","full_IF",5,7,1.5,0.25,0.25,7,0.104271335392925,0.104687379957308,0.181644347569526
