"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.700152027555747,1.1932168356936
"TWFE","first",0.25,-1.31155238964668,1.68628164383145
"TWFE","first",0.5,-2.06101089801621,2.33712719057341
"TWFE","first",0.75,-2.8893597756878,3.10630829126845
"TWFE","first",1,-3.7374312456849,3.91493457661453
"TWFE","first",1.25,-4.58550271568201,4.74328345428612
"TWFE","first",1.5,-5.45329677800462,5.59135492428322
"TWFE","first",1.75,-6.32109084032724,6.45914898660584
"TWFE","first",2,-7.20860749497537,7.34666564125397
"TWFE","avg",0,1.04433543443328,3.22284160948766
"TWFE","avg",0.25,-1.98760614940528,5.895441968575
"TWFE","avg",0.5,-5.44626543763595,9.2418071240709
"TWFE","avg",0.75,-8.99476003205442,11.2181838602027
"TWFE","avg",1,-11.2181838602027,11.2181838602027
"TWFE","avg",1.25,-11.2181838602027,11.2181838602027
"TWFE","avg",1.5,-11.2181838602027,11.2181838602027
"TWFE","avg",1.75,-11.2181838602027,11.2181838602027
"TWFE","avg",2,-11.2181838602027,11.2181838602027
"TWFE","peak",0,2.98850007385202,5.36937980073828
"TWFE","peak",0.25,1.6244543969901,6.48541717271621
"TWFE","peak",0.5,-0.0124004152441994,7.97346700202012
"TWFE","peak",0.75,-1.7236577189437,9.61032181425442
"TWFE","peak",1,-3.48451668361999,11.2967782874655
"TWFE","peak",1.25,-5.24537564829628,12.3880148289551
"TWFE","peak",1.5,-7.00623461297258,12.3880148289551
"TWFE","peak",1.75,-8.76709357764887,12.3880148289551
"TWFE","peak",2,-10.5527533728136,12.3880148289551
"CS-NT","first",0,-0.569763107013356,0.987054396656944
"CS-NT","first",0.25,-1.14755104651986,1.53274300619086
"CS-NT","first",0.5,-1.8537363059167,2.20682893561512
"CS-NT","first",0.75,-2.6241202252587,2.96116318997083
"CS-NT","first",1,-3.44265313955958,3.76364643928542
"CS-NT","first",1.25,-4.24513638887417,4.56612968860001
"CS-NT","first",1.5,-5.06366930317505,5.38466260290089
"CS-NT","first",1.75,-5.89825188246222,6.20319551720176
"CS-NT","first",2,-6.73283446174939,7.03777809648894
"CS-NT","avg",0,0.436633744156125,1.88714584338664
"CS-NT","avg",0.25,-2.36078244721701,4.77336889797797
"CS-NT","avg",0.5,-5.67623867402961,7.39317136291471
"CS-NT","avg",0.75,-7.39317136291471,7.39317136291471
"CS-NT","avg",1,-7.39317136291471,7.39317136291471
"CS-NT","avg",1.25,-7.39317136291471,7.39317136291471
"CS-NT","avg",1.5,-7.39317136291471,7.39317136291471
"CS-NT","avg",1.75,-7.39317136291471,7.39317136291471
"CS-NT","avg",2,-7.39317136291471,7.39317136291471
"CS-NT","peak",0,2.06040546857608,4.04833436288064
"CS-NT","peak",0.25,0.797242316986724,5.22866714387397
"CS-NT","peak",0.5,-0.735119539039706,6.71961381460239
"CS-NT","peak",0.75,-2.35031176566216,8.31409844857584
"CS-NT","peak",1,-4.00691917758262,9.94999826784729
"CS-NT","peak",1.25,-5.68423418215209,10.3434425281784
"CS-NT","peak",1.5,-7.34084159407256,10.3434425281784
"CS-NT","peak",1.75,-9.01815659864203,10.3434425281784
"CS-NT","peak",2,-10.3434425281784,10.3434425281784
