"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.565005917610961,0.326141627238847
"TWFE","first",0.25,-0.601754269975901,0.362889979603788
"TWFE","first",0.5,-0.656876798523312,0.408825420059964
"TWFE","first",0.75,-0.730373503253194,0.482322124789845
"TWFE","first",1,-0.83143147225678,0.583380093793432
"TWFE","first",1.25,-0.950863617442837,0.702812238979488
"TWFE","first",1.5,-1.07948285072013,0.831431472256781
"TWFE","first",1.75,-1.21728917208866,0.960050705534072
"TWFE","first",2,-1.34590840536595,1.0978570269026
"TWFE","avg",0,-1.2470778292355,0.0461880677494628
"TWFE","avg",0.25,-1.35265055551999,0.125367612462828
"TWFE","avg",0.5,-1.56379600808896,0.323316474246241
"TWFE","avg",0.75,-1.8541210053713,0.61364147152858
"TWFE","avg",1,-2.19723236579588,0.943556241167601
"TWFE","avg",1.25,-2.5271471354349,1.27347101080662
"TWFE","avg",1.5,-2.87025849585948,1.61658237123121
"TWFE","avg",1.75,-3.22656644706963,1.97289032244135
"TWFE","avg",2,-3.58287439827977,2.32919827365149
"TWFE","peak",0,-1.97278534091041,-0.142955459486261
"TWFE","peak",0.25,-2.16339262022543,0.028591091897253
"TWFE","peak",0.5,-2.52554645092396,0.371684194664281
"TWFE","peak",0.75,-3.021125377143,0.848202392951821
"TWFE","peak",1,-3.55482575922504,1.38190277503386
"TWFE","peak",1.25,-4.10758686923859,1.93466388504741
"TWFE","peak",1.5,-4.66034797925214,2.48742499506096
"TWFE","peak",1.75,-5.21310908926568,3.0401861050745
"TWFE","peak",2,-5.78493092721073,3.59294721508805
"CS-NT","first",0,-0.805999172738264,0.213199781175928
"CS-NT","first",0.25,-0.920399055320471,0.337999653083789
"CS-NT","first",0.5,-1.0763988952053,0.493999492968614
"CS-NT","first",0.75,-1.27399869239274,0.701999279481715
"CS-NT","first",1,-1.51319844688281,0.930799044646125
"CS-NT","first",1.25,-1.75239820137287,1.18039878846185
"CS-NT","first",1.5,-2.01239793451425,1.44039852160322
"CS-NT","first",1.75,-2.27239766765562,1.7003982547446
"CS-NT","first",2,-2.532397400797,1.96039798788597
"CS-NT","avg",0,-1.60712686890895,-0.170340635875141
"CS-NT","avg",0.25,-1.94780814065923,0.155528406668608
"CS-NT","avg",0.5,-2.48104839209446,0.688768658103834
"CS-NT","avg",0.75,-3.10316201876889,1.29607005557173
"CS-NT","avg",1,-3.74008787464985,1.94780814065923
"CS-NT","avg",1.25,-4.40663818894388,2.59954622574673
"CS-NT","avg",1.5,-5.07318850323792,3.26609654004076
"CS-NT","avg",1.75,-5.73973881753195,3.93264685433479
"CS-NT","avg",2,-6.40628913182598,4.61400939783536
"CS-NT","peak",0,-2.23091937526729,-0.120887256787883
"CS-NT","peak",0.25,-2.80238640735547,0.406620772831969
"CS-NT","peak",0.5,-3.70354595795605,1.26382132096423
"CS-NT","peak",0.75,-4.71460301472743,2.27487837773561
"CS-NT","peak",1,-5.74763957273298,3.30791493574116
"CS-NT","peak",1.25,-6.80265563197268,4.36293099498086
"CS-NT","peak",1.5,-7.85767169121239,5.41794705422057
"CS-NT","peak",1.75,-8.93466725168625,6.49494261469444
"CS-NT","peak",2,-10.0116628121601,7.5719381751683
