"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",3,2,2,2,1.75,2,-0.0890062267068314,-0.104675262775595,-0.120344298844359
"CS-NT","full_IF",3,2,1.75,1.5,1.25,2,-0.109604037670331,-0.124292091513902,-0.138980145357474
