"estimator","time","coef","se"
"TWFE",-5,-0.0272702931308568,0.00861473208677417
"TWFE",-4,-0.00337105750672909,0.00890227659134354
"TWFE",-3,0.0133084258791905,0.0106508549737957
"TWFE",-2,-0.000814686018614822,0.0108251148117088
"TWFE",-1,0,0
"TWFE",0,-0.0890062267068314,0.0110374143879051
"TWFE",1,-0.120344298844359,0.0113186287429545
"CS-NT",-5,-0.0469183077590291,0.0128895141947593
"CS-NT",-4,-0.000598340582281298,0.0135972535577475
"CS-NT",-3,0.0210907983380384,0.0166815295912125
"CS-NT",-2,0.0169612838931248,0.0205405504451902
"CS-NT",-1,0,NA
"CS-NT",0,-0.109604037670331,0.0188723905936715
"CS-NT",1,-0.138980145357474,0.0230703503088855
"SA",-5,-0.0492617899901224,0.0103693921262318
"SA",-4,0.00191137662562769,0.00880278067745967
"SA",-3,0.0159527013506846,0.0114431978268957
"SA",-2,0.00354781143567842,0.0112116484124472
"SA",0,-0.0881326250374976,0.0105021567550285
"SA",1,-0.118462004171548,0.0108381709328634
"Gardner",-5,-0.0188934516652516,0.00510433096232902
"Gardner",-4,0.00652293423136605,0.00574924218809402
"Gardner",-3,0.0188424726427148,0.00676498739524902
"Gardner",-2,0.00791932967473268,0.00853700728134144
"Gardner",0,-0.0835423762525205,0.0102094242608836
"Gardner",1,-0.113431467448707,0.0111203782654682
