"estimator","time","coef","se"
"TWFE",-5,0.000896924539371903,0.000814146854813794
"TWFE",-4,-0.00010465557708438,0.00061934351076279
"TWFE",-3,-0.00171103987419604,0.000837693434859613
"TWFE",-2,-0.00129483974967734,0.000855112715711272
"TWFE",-1,0,0
"TWFE",0,-0.00352568723998219,0.00126802083160857
"TWFE",1,-0.00175224589291034,0.00096786015649482
"TWFE",2,-0.00124857549069381,0.000916531444384999
"CS-NT",-5,0.00155350874657559,0.00090992446712942
"CS-NT",-4,4.26769336133037e-05,0.000867511887385818
"CS-NT",-3,-8.64900746133609e-05,0.00119980602733974
"CS-NT",-2,2.93474260948219e-05,0.00094704655397977
"CS-NT",-1,0,NA
"CS-NT",0,-0.00162070591991853,0.00132098720716095
"CS-NT",1,-0.00191978203683755,0.00167556835886115
"CS-NT",2,-0.000745264058555096,0.00161026142893448
"CS-NYT",-5,0.00148550894887812,0.000876054859335071
"CS-NYT",-4,7.90809467652265e-06,0.000817581686249649
"CS-NYT",-3,-0.000105542752070494,0.00120520328608771
"CS-NYT",-2,-7.27226694279912e-06,0.000873309461397869
"CS-NYT",-1,0,NA
"CS-NYT",0,-0.00161204719685955,0.00138139966359434
"CS-NYT",1,-0.00194922646170815,0.00168255641563302
"CS-NYT",2,-0.000747552281087987,0.00160597327053421
"SA",-5,0.00147009943199342,0.000701023968855734
"SA",-4,-0.000150933954804942,0.000561513911924914
"SA",-3,-0.00169072382844039,0.000406852479789461
"SA",-2,-0.00122995561067975,0.000635428547168269
"SA",0,-0.003567601877965,0.0012138034684336
"SA",1,-0.00178589284072761,0.00111938015851716
"SA",2,-0.000978830855677732,0.000925902515690342
"Gardner",-5,0.000785428984153696,0.00038100185168027
"Gardner",-4,-9.61750535688523e-05,0.000469669658449456
"Gardner",-3,-0.00159673260970573,0.000740001774780506
"Gardner",-2,-0.00118503839216107,0.000743595547269367
"Gardner",0,-0.00356133703116776,0.00125172092925041
"Gardner",1,-0.00179487380311514,0.000809573973334914
"Gardner",2,-0.00118250408264486,0.000780962661955159
