"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.186144226281743,-0.0709409592018371
"TWFE","first",0.25,-0.198270885974365,-0.0588142995092154
"TWFE","first",0.5,-0.210397545666987,-0.0442623078780693
"TWFE","first",0.75,-0.223736871328871,-0.0297103162469232
"TWFE","first",1,-0.239501528929279,-0.0115203267079906
"TWFE","first",1.25,-0.256478852498949,0.00666966283094195
"TWFE","first",1.5,-0.27345617606862,0.0260723183391367
"TWFE","first",1.75,-0.291646165607552,0.0454749738473315
"TWFE","first",2,-0.312261487085009,0.0660902953247884
"TWFE","avg",0,-0.358705885134459,-0.270712952110236
"TWFE","avg",0.25,-0.417966431865058,-0.212350292451313
"TWFE","avg",0.5,-0.448494592302033,-0.132438343072172
"TWFE","avg",0.75,-0.448494592302033,-0.0480369583346522
"TWFE","avg",1,-0.448494592302033,0.0372623134745433
"TWFE","avg",1.25,-0.448494592302033,0.123459472355414
"TWFE","avg",1.5,-0.448494592302033,0.209656631236286
"TWFE","avg",1.75,-0.448494592302033,0.294955903045481
"TWFE","avg",2,-0.448494592302033,0.381153061926352
"TWFE","peak",0,-0.646745885076959,-0.469950636157734
"TWFE","peak",0.25,-0.735143509536571,-0.395985276916018
"TWFE","peak",0.5,-0.852405664431975,-0.284135221477325
"TWFE","peak",0.75,-0.901114559542373,-0.16146096712521
"TWFE","peak",1,-0.901114559542373,-0.0333746133163841
"TWFE","peak",1.25,-0.901114559542373,0.0929077073402047
"TWFE","peak",1.5,-0.901114559542373,0.220994061149031
"TWFE","peak",1.75,-0.901114559542373,0.350884448110093
"TWFE","peak",2,-0.901114559542373,0.478970801918919
"CS-NT","first",0,-0.2007884909763,-0.0771282774861343
"CS-NT","first",0.25,-0.214811814155597,-0.0618301067450829
"CS-NT","first",0.5,-0.230109984896649,-0.0452570884422772
"CS-NT","first",0.75,-0.249232698322963,-0.0235846798924543
"CS-NT","first",1,-0.27217995443454,-0.000637423780877167
"CS-NT","first",1.25,-0.295127210546117,0.0235846798924543
"CS-NT","first",1.5,-0.319349314219449,0.04908163112754
"CS-NT","first",1.75,-0.34357141789278,0.0745785823626258
"CS-NT","first",2,-0.369068369127866,0.100075533597711
"CS-NT","avg",0,-0.384019935330868,-0.281825329769567
"CS-NT","avg",0.25,-0.457768619756549,-0.201755329535971
"CS-NT","avg",0.5,-0.526249541008968,-0.0974536187053643
"CS-NT","avg",0.75,-0.526249541008968,0.00895519739454698
"CS-NT","avg",1,-0.526249541008968,0.117471118763764
"CS-NT","avg",1.25,-0.526249541008968,0.22598704013298
"CS-NT","avg",1.5,-0.526249541008968,0.334502961502197
"CS-NT","avg",1.75,-0.526249541008968,0.441965330236761
"CS-NT","avg",2,-0.526249541008968,0.526249541008968
"CS-NT","peak",0,-0.656839381004438,-0.499716273834449
"CS-NT","peak",0.25,-0.773466841996594,-0.384708638689405
"CS-NT","peak",0.5,-0.809103010633086,-0.232445009060757
"CS-NT","peak",0.75,-0.809103010633086,-0.0720822501965412
"CS-NT","peak",1,-0.809103010633086,0.0899003345147873
"CS-NT","peak",1.25,-0.809103010633086,0.251882919226116
"CS-NT","peak",1.5,-0.809103010633086,0.413865503937444
"CS-NT","peak",1.75,-0.809103010633086,0.577467914495886
"CS-NT","peak",2,-0.809103010633086,0.739450499207215
