"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-89.7128648274519,67.0825926187251
"TWFE","first",0.25,-102.644448946724,83.2470727678156
"TWFE","first",0.5,-115.576033065997,101.028000931815
"TWFE","first",0.75,-128.507617185269,117.192481080905
"TWFE","first",1,-143.05564931945,138.206305274723
"TWFE","first",1.25,-159.220129468541,160.83657748345
"TWFE","first",1.5,-177.00105763254,181.850401677267
"TWFE","first",1.75,-194.78198579654,204.480673885994
"TWFE","first",2,-212.562913960539,227.11094609472
"TWFE","avg",0,-40.0159574714129,36.846376681598
"TWFE","avg",0.25,-74.8813461593767,82.8052981339139
"TWFE","avg",0.5,-120.047872414239,139.065357153128
"TWFE","avg",0.75,-167.591584261462,196.117811369796
"TWFE","avg",1,-215.135296108685,253.170265586464
"TWFE","avg",1.25,-268.225774338085,310.222719803132
"TWFE","avg",1.5,-325.278228554753,367.2751740198
"TWFE","avg",1.75,-381.538287573967,395.801401128134
"TWFE","avg",2,-395.801401128134,395.801401128134
"TWFE","peak",0,-27.3641784445036,107.351776974591
"TWFE","peak",0.25,-48.4135464787371,122.787980199696
"TWFE","peak",0.5,-83.495826535793,149.450513043058
"TWFE","peak",0.75,-124.191271401978,183.129501897832
"TWFE","peak",1,-167.693298672727,219.61507315717
"TWFE","peak",1.25,-212.598617145759,263.117100427919
"TWFE","peak",1.5,-256.100644416508,308.022418900951
"TWFE","peak",1.75,-301.005962889539,352.927737373982
"TWFE","peak",2,-347.314572564853,397.833055847014
"CS-NT","first",0,-235.432287949999,272.466580436516
"CS-NT","first",0.25,-267.175967224156,314.791486135392
"CS-NT","first",0.5,-298.919646498313,357.116391834268
"CS-NT","first",0.75,-330.663325772471,399.441297533145
"CS-NT","first",1,-357.116391834268,441.766203232021
"CS-NT","first",1.25,-388.860071108425,489.381722143256
"CS-NT","first",1.5,-425.894363594942,536.997241054492
"CS-NT","first",1.75,-468.219269293818,589.903373178088
"CS-NT","first",2,-505.253561780335,642.809505301683
"CS-NT","avg",0,-50.2997306718489,135.714367661781
"CS-NT","avg",0.25,-139.510573750222,253.396756403465
"CS-NT","avg",0.5,-236.313829005479,384.365866454694
"CS-NT","avg",0.75,-340.709496437618,519.131182594365
"CS-NT","avg",1,-445.105163869757,655.794601778256
"CS-NT","avg",1.25,-570.379964788324,790.559917917927
"CS-NT","avg",1.5,-705.145280927995,927.223337101819
"CS-NT","avg",1.75,-839.910597067666,948.102470588246
"CS-NT","avg",2,-948.102470588246,948.102470588246
"CS-NT","peak",0,-93.4707038546039,366.692761275755
"CS-NT","peak",0.25,-165.371245281223,419.419824988609
"CS-NT","peak",0.5,-251.651894993165,481.733627558345
"CS-NT","peak",0.75,-342.725914133549,548.840799556523
"CS-NT","peak",1,-443.386672130815,620.741340983141
"CS-NT","peak",1.25,-544.047430128081,692.64188240976
"CS-NT","peak",1.5,-649.501557553788,769.33579326482
"CS-NT","peak",1.75,-754.955684979496,850.823073548321
"CS-NT","peak",2,-855.616442976762,927.516984403381
