"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",4,5,0,0,0,0.105213647976643,-0.18354091465836,-0.414428022283427
"CS-NT","full_IF",4,5,0,0,0,-0.234931357947504,-0.448002223969434,-0.669078767935425
