"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.0915001418729995,0.302967136423932
"TWFE","first",0.25,-0.124033525650066,0.363967231005932
"TWFE","first",0.5,-0.156566909427133,0.424967325587931
"TWFE","first",0.75,-0.193166966176332,0.490034093142064
"TWFE","first",1,-0.233833695897666,0.551034187724064
"TWFE","first",1.25,-0.274500425618999,0.620167628250331
"TWFE","first",1.5,-0.315167155340332,0.68116772283233
"TWFE","first",1.75,-0.359900558033798,0.750301163358597
"TWFE","first",2,-0.404633960727265,0.823501276856996
"TWFE","avg",0,-0.337877664205732,-0.0277484072053018
"TWFE","avg",0.25,-0.465193885500645,0.135477517531767
"TWFE","avg",0.5,-0.625155291742972,0.331348627216249
"TWFE","avg",0.75,-0.827555438416937,0.540277810879696
"TWFE","avg",1,-1.03974914057513,0.749206994543144
"TWFE","avg",1.25,-1.24867832423857,0.961400696701333
"TWFE","avg",1.5,-1.46087202639676,1.17359439885952
"TWFE","avg",1.75,-1.63062698812331,1.38905261951245
"TWFE","avg",2,-1.63062698812331,1.60124632167064
"TWFE","peak",0,-0.891368626079216,0.0640209510443634
"TWFE","peak",0.25,-1.10805492192168,0.231460361468083
"TWFE","peak",0.5,-1.39368685735038,0.467845411478041
"TWFE","peak",0.75,-1.70886692403032,0.763326723990488
"TWFE","peak",1,-2.04374574487776,1.09820554483793
"TWFE","peak",1.25,-2.38847394280895,1.44293374276912
"TWFE","peak",1.5,-2.74305151782389,1.78766194070031
"TWFE","peak",1.75,-3.08777971575507,2.14223951571524
"TWFE","peak",2,-3.44235729077001,2.48696771364643
"CS-NT","first",0,-0.615944482533796,0.14515889078822
"CS-NT","first",0.25,-0.670869468237447,0.2785481417828
"CS-NT","first",0.5,-0.780719439644748,0.427630245835566
"CS-NT","first",0.75,-0.914108690639328,0.608098056004704
"CS-NT","first",1,-1.07888364775028,0.796412292702935
"CS-NT","first",1.25,-1.26719788444851,0.992572955930259
"CS-NT","first",1.5,-1.45551212114674,1.18873361915758
"CS-NT","first",1.75,-1.64382635784497,1.38489428238491
"CS-NT","first",2,-1.8321405945432,1.58105494561223
"CS-NT","avg",0,-0.63968984096863,-0.255479843606666
"CS-NT","avg",0.25,-1.11500117791126,0.200026854296692
"CS-NT","avg",0.5,-1.72102313251312,0.798126953282841
"CS-NT","avg",0.75,-1.97848344002372,1.4041489078847
"CS-NT","avg",1,-1.97848344002372,1.97848344002372
"CS-NT","avg",1.25,-1.97848344002372,1.97848344002372
"CS-NT","avg",1.5,-1.97848344002372,1.97848344002372
"CS-NT","avg",1.75,-1.97848344002372,1.97848344002372
"CS-NT","avg",2,-1.97848344002372,1.97848344002372
"CS-NT","peak",0,-0.99150069035822,-0.350133907156203
"CS-NT","peak",0.25,-1.6590457096093,0.507203323450574
"CS-NT","peak",0.5,-2.64727412046139,1.53469908837625
"CS-NT","peak",0.75,-3.26900722662661,2.55565029428967
"CS-NT","peak",1,-3.26900722662661,3.26900722662661
"CS-NT","peak",1.25,-3.26900722662661,3.26900722662661
"CS-NT","peak",1.5,-3.26900722662661,3.26900722662661
"CS-NT","peak",1.75,-3.26900722662661,3.26900722662661
"CS-NT","peak",2,-3.26900722662661,3.26900722662661
