"treated","untreated","estimate","weight","type"
2008,99999,-1.47761535959312,0.267792139277236,"Treated vs Untreated"
2010,99999,0.185374323922215,0.0608618498357354,"Treated vs Untreated"
2009,99999,-1.7441936070519,0.162298266228628,"Treated vs Untreated"
2015,99999,-0.112653427176544,0.0360662813841395,"Treated vs Untreated"
2013,99999,0.273978443227158,0.151478381813386,"Treated vs Untreated"
2016,99999,0.696944888842395,0.0446320232128726,"Treated vs Untreated"
2012,99999,-1.8565488285162,0.132543584086713,"Treated vs Untreated"
2011,99999,-2.42413186055295,0.0649193064914511,"Treated vs Untreated"
2010,2008,1.96790147457373,0.00233087935541114,"Later vs Earlier Treated"
2009,2008,-0.831441943345575,0.00388479892568524,"Later vs Earlier Treated"
2015,2008,0.665894169235798,0.00241720822042637,"Later vs Earlier Treated"
2013,2008,1.40081221833807,0.00906453082659888,"Later vs Earlier Treated"
2016,2008,0.810401999759276,0.00310783914054819,"Later vs Earlier Treated"
2012,2008,-0.824425808578461,0.00725162466127911,"Later vs Earlier Treated"
2011,2008,-0.168018325219004,0.00310783914054819,"Later vs Earlier Treated"
2008,2010,0.269408521076492,0.000776959785137047,"Earlier vs Later Treated"
2009,2010,-0.118748354166899,0.000258986595045682,"Earlier vs Later Treated"
2015,2010,-0.811890640533501,0.000287762883384091,"Later vs Earlier Treated"
2013,2010,-0.190721759914134,0.000906453082659888,"Later vs Earlier Treated"
2016,2010,-0.17265987951208,0.000388479892568524,"Later vs Earlier Treated"
2012,2010,-2.72684964898564,0.000604302055106592,"Later vs Earlier Treated"
2011,2010,-0.439988213447295,0.000172657730030455,"Later vs Earlier Treated"
2008,2009,-0.842375420714901,0.00116543967770557,"Earlier vs Later Treated"
2010,2009,1.90214660184162,0.000582719838852785,"Later vs Earlier Treated"
2015,2009,1.60641525545267,0.00103594638018273,"Later vs Earlier Treated"
2013,2009,1.8982283647306,0.00362581233063955,"Later vs Earlier Treated"
2016,2009,1.87704428562779,0.00135967962398983,"Later vs Earlier Treated"
2012,2009,-0.557756180190077,0.00271935924797966,"Later vs Earlier Treated"
2011,2009,0.186252669347801,0.00103594638018273,"Later vs Earlier Treated"
2008,2015,-0.972913428280006,0.00181290616531978,"Earlier vs Later Treated"
2010,2015,0.606377411030011,0.000359703604230114,"Earlier vs Later Treated"
2009,2015,-0.945143550362434,0.00103594638018273,"Earlier vs Later Treated"
2013,2015,-0.234166942303858,0.000537157382316971,"Earlier vs Later Treated"
2016,2015,0.791361750308225,4.31644325076137e-05,"Later vs Earlier Treated"
2012,2015,-1.27987771154504,0.000604302055106592,"Earlier vs Later Treated"
2011,2015,-0.393930082899711,0.00034531546006091,"Earlier vs Later Treated"
2008,2013,-0.916831598898268,0.00453226541329944,"Earlier vs Later Treated"
2010,2013,0.28714685870391,0.00075537756888324,"Earlier vs Later Treated"
2009,2013,-0.575771740608522,0.00241720822042637,"Earlier vs Later Treated"
2015,2013,-0.908227360965067,0.000268578691158485,"Later vs Earlier Treated"
2016,2013,-0.651944278922897,0.000453226541329944,"Later vs Earlier Treated"
2012,2013,-0.987205306012708,0.000705019064291024,"Earlier vs Later Treated"
2011,2013,-0.199608188916852,0.000604302055106592,"Earlier vs Later Treated"
2008,2016,-3.11908044963472,0.00310783914054819,"Earlier vs Later Treated"
2010,2016,-1.19714241786046,0.000647466487614206,"Earlier vs Later Treated"
2009,2016,-2.88182622218999,0.00181290616531978,"Earlier vs Later Treated"
2015,2016,-0.467336118671866,0.000143881441692046,"Earlier vs Later Treated"
2013,2016,-1.25697666060034,0.00120860411021318,"Earlier vs Later Treated"
2012,2016,-2.87875661119952,0.00120860411021318,"Earlier vs Later Treated"
2011,2016,-2.73585416736184,0.000647466487614206,"Earlier vs Later Treated"
2008,2012,-1.41966293774179,0.00310783914054819,"Earlier vs Later Treated"
2010,2012,-0.536809941681022,0.000431644325076137,"Earlier vs Later Treated"
2009,2012,-1.01064133717283,0.00155391957027409,"Earlier vs Later Treated"
2015,2012,1.00841037000614,0.00034531546006091,"Later vs Earlier Treated"
2013,2012,1.33306447246392,0.000604302055106592,"Later vs Earlier Treated"
2016,2012,0.68857611168196,0.000517973190091365,"Later vs Earlier Treated"
2011,2012,-0.433445352190161,0.000258986595045682,"Earlier vs Later Treated"
2008,2011,1.03331456019872,0.00116543967770557,"Earlier vs Later Treated"
2010,2011,2.41429373072115,0.000107911081269034,"Earlier vs Later Treated"
2009,2011,1.09807832055892,0.000517973190091365,"Earlier vs Later Treated"
2015,2011,3.13591146945746,0.000230210306707273,"Later vs Earlier Treated"
2013,2011,3.23255848775301,0.000604302055106592,"Later vs Earlier Treated"
2016,2011,2.5307781647549,0.000323733243807103,"Later vs Earlier Treated"
2012,2011,0.528221079536302,0.000302151027553296,"Later vs Earlier Treated"
