"estimator","time","coef","se"
"TWFE",-6,-0.352841622449826,0.603573649006496
"TWFE",-5,0.293797902946411,0.53178078553961
"TWFE",-4,0.132123389448043,0.410873784664156
"TWFE",-3,-0.410100940762907,0.434032286865431
"TWFE",-2,0.0767654954955064,0.440311661233314
"TWFE",-1,0,0
"TWFE",0,-0.476241711707027,0.347074698481126
"TWFE",1,-0.550392695377738,0.665492030155017
"TWFE",2,-0.997230225381923,0.420455661356864
"TWFE",3,-1.31684791474449,0.345194385627362
"TWFE",4,-1.54691791860932,0.415262780276776
"TWFE",5,-2.35018069468282,0.507727459868778
"CS-NT",-6,0.812464766792261,0.396406597255637
"CS-NT",-5,0.260659730358615,0.337474201389021
"CS-NT",-4,0.186064518557327,0.305635377892498
"CS-NT",-3,0.0404209145585684,0.283928263250879
"CS-NT",-2,0.246608347622934,0.202081492857106
"CS-NT",-1,0,NA
"CS-NT",0,0.00473794877849406,0.136951384253471
"CS-NT",1,-0.313761323819593,0.214233835593242
"CS-NT",2,-0.418527134480092,0.24709151475404
"CS-NT",3,-0.969884896482313,0.225494938303218
"CS-NT",4,-1.09544376717677,0.293615943835982
"CS-NT",5,-1.33935733211099,0.331686753128749
"CS-NYT",-6,0.833640517263007,0.434515748311225
"CS-NYT",-5,0.266394422565241,0.335059329546193
"CS-NYT",-4,0.192631666885311,0.280418804396728
"CS-NYT",-3,0.0562525341401906,0.299381251853889
"CS-NYT",-2,0.284016906820154,0.196198518168027
"CS-NYT",-1,0,NA
"CS-NYT",0,-0.0142744776817748,0.150903977334318
"CS-NYT",1,-0.308501394370444,0.207850220462519
"CS-NYT",2,-0.378457118544449,0.254831884266836
"CS-NYT",3,-0.954943760480123,0.242290631435731
"CS-NYT",4,-1.09956517708159,0.300226581184287
"CS-NYT",5,-1.35934032122994,0.34748783412281
"SA",-6,0.454685166607515,0.46650527509112
"SA",-5,0.45862518992495,0.491439323796231
"SA",-4,0.128231905309169,0.386356379697089
"SA",-3,-0.429471147588867,0.404787944189089
"SA",-2,0.0476272981869826,0.430771433923092
"SA",0,-0.455092529326677,0.295814137499804
"SA",1,-0.546591130933901,0.665568009697421
"SA",2,-1.01181129433192,0.387835905311745
"SA",3,-1.35384444274274,0.317963082648791
"SA",4,-1.62449264016734,0.376032441057484
"SA",5,-1.91389843326097,0.362744544310765
"Gardner",-6,-0.104650250554903,0.222589545575179
"Gardner",-5,0.423116939122241,0.31723727005903
"Gardner",-4,0.126982876209041,0.277084321944672
"Gardner",-3,-0.229344273363588,0.201914480400667
"Gardner",-2,0.189033167901681,0.223446747303558
"Gardner",0,-0.340952915146601,0.292606805484459
"Gardner",1,-0.415571102406035,0.715240047080359
"Gardner",2,-0.971220548928832,0.299786931175847
"Gardner",3,-1.32265206012051,0.303670250362971
"Gardner",4,-1.4625406089272,0.380780215430002
"Gardner",5,-2.34721121483026,0.479474162800633
