"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",4,6,0,0,0.25,6,-0.476241711707027,-1.20630186008389,-2.35018069468282
"CS-NT","full_IF",4,6,0,0,0,6,-0.914723651569103,-1.4095639671826,-2.04991103031432
