"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-1.1464929979857,0.201504829949002
"TWFE","first",0.25,-1.3271525006986,0.326576793365624
"TWFE","first",0.5,-1.53560577305964,0.479442526430384
"TWFE","first",0.75,-1.75795593024474,0.646205144319214
"TWFE","first",1,-2.00809985707799,0.85465841668025
"TWFE","first",1.25,-2.28603755355937,1.07700857386536
"TWFE","first",1.5,-2.56397525004075,1.29935873105046
"TWFE","first",1.75,-2.8558098313462,1.54950265788371
"TWFE","first",2,-3.13374752782758,1.82744035436509
"TWFE","avg",0,-1.90291991185518,-0.503070781295048
"TWFE","avg",0.25,-2.51535390647524,0.0947814515483429
"TWFE","avg",0.5,-3.448586660182,1.0280142052551
"TWFE","avg",0.75,-4.4547282227721,2.01957400606853
"TWFE","avg",1,-5.46086978536219,3.02571556865862
"TWFE","avg",1.25,-6.48159310972896,4.04643889302539
"TWFE","avg",1.5,-7.2835900074457,5.06716221739215
"TWFE","avg",1.75,-7.2835900074457,6.08788554175892
"TWFE","avg",2,-7.2835900074457,7.10860886612569
"TWFE","peak",0,-3.34419087681337,-1.35190695020115
"TWFE","peak",0.25,-4.42165055140978,-0.213458992137024
"TWFE","peak",0.5,-6.04800477721567,1.45355408931402
"TWFE","peak",0.75,-7.77600614213443,3.18155545423278
"TWFE","peak",1,-9.52433693487577,4.92988624697412
"TWFE","peak",1.25,-10.1545491973756,6.67821703971545
"TWFE","peak",1.5,-10.1545491973756,8.42654783245679
"TWFE","peak",1.75,-10.1545491973756,10.1545491973756
"TWFE","peak",2,-10.1545491973756,10.1545491973756
"CS-NT","first",0,-1.69298406257632,-0.13512079372675
"CS-NT","first",0.25,-1.96322565002982,0.00794828198392583
"CS-NT","first",0.5,-2.29705349335473,0.214603613566013
"CS-NT","first",0.75,-2.66267446461534,0.516638328955215
"CS-NT","first",1,-3.07598512777952,0.866362736247977
"CS-NT","first",1.25,-3.48929579094369,1.24788027147644
"CS-NT","first",1.5,-3.90260645410786,1.64529437067276
"CS-NT","first",1.75,-4.31591711727204,2.05860503383694
"CS-NT","first",2,-4.74512434440406,2.47191569700111
"CS-NT","avg",0,-2.04162142292145,-0.76979168405235
"CS-NT","avg",0.25,-3.25990043594343,0.194121381195811
"CS-NT","avg",0.5,-4.73254539673924,1.62660329760627
"CS-NT","avg",0.75,-6.24535340192038,3.13941130278742
"CS-NT","avg",1,-6.68714689015912,4.65221930796856
"CS-NT","avg",1.25,-6.68714689015912,6.17841499461148
"CS-NT","avg",1.5,-6.68714689015912,6.68714689015912
"CS-NT","avg",1.75,-6.68714689015912,6.68714689015912
"CS-NT","avg",2,-6.68714689015912,6.68714689015912
"CS-NT","peak",0,-2.83603617989434,-1.25047128393035
"CS-NT","peak",0.25,-4.89563594166198,0.743744358416095
"CS-NT","peak",0.5,-7.46196262894389,3.310071045698
"CS-NT","peak",0.75,-8.16484191272173,5.90908979269051
"CS-NT","peak",1,-8.16484191272173,8.16484191272173
"CS-NT","peak",1.25,-8.16484191272173,8.16484191272173
"CS-NT","peak",1.5,-8.16484191272173,8.16484191272173
"CS-NT","peak",1.75,-8.16484191272173,8.16484191272173
"CS-NT","peak",2,-8.16484191272173,8.16484191272173
