"treated","untreated","estimate","weight","type"
1974,99999,40.511602373085,0.115007954445655,"Treated vs Untreated"
1972,99999,-62.1145619804991,0.263581193373968,"Treated vs Untreated"
1968,99999,-146.674105199697,0.0805055681119586,"Treated vs Untreated"
1970,99999,-102.352542298031,0.124634546188143,"Treated vs Untreated"
1969,99999,-170.982683803263,0.0681528618937216,"Treated vs Untreated"
1973,99999,-58.3288091468423,0.0572484039907261,"Treated vs Untreated"
1967,99999,-93.7000390974895,0.179923555399425,"Treated vs Untreated"
1971,99999,-136.741301177717,0.0920063635565241,"Treated vs Untreated"
1965,99999,-195.116770088361,0.0122675151408699,"Treated vs Untreated"
1972,1974,-152.960520387819,0.000126354711694302,"Earlier vs Later Treated"
1968,1974,-123.352475793999,9.37246487842351e-05,"Earlier vs Later Treated"
1970,1974,-146.670795848253,0.000106915525279794,"Earlier vs Later Treated"
1969,1974,-170.990814690057,6.94256657661001e-05,"Earlier vs Later Treated"
1973,1974,-213.565686673607,1.4579389810881e-05,"Earlier vs Later Treated"
1967,1974,-74.1129482898631,0.000233270236974096,"Earlier vs Later Treated"
1971,1974,-181.492029601829,6.24830991894901e-05,"Earlier vs Later Treated"
1965,1974,-117.704228679459,1.8744929756847e-05,"Earlier vs Later Treated"
1974,1972,-46.223296216364,0.00014579389810881,"Later vs Earlier Treated"
1968,1972,-117.765827429665,0.00014579389810881,"Earlier vs Later Treated"
1970,1972,-20.0484667734467,0.000124734779493093,"Earlier vs Later Treated"
1969,1972,-64.8852185587748,9.71959320725401e-05,"Earlier vs Later Treated"
1973,1972,131.225106877596,3.88783728290161e-05,"Later vs Earlier Treated"
1967,1972,-62.7774958861151,0.00038878372829016,"Earlier vs Later Treated"
1971,1972,-31.3280152170203,4.85979660362701e-05,"Earlier vs Later Treated"
1965,1972,-33.8291075501443,3.4018576225389e-05,"Earlier vs Later Treated"
1974,1968,69.8610576375297,0.000156207747973725,"Later vs Earlier Treated"
1972,1968,-47.4838572147505,0.00027538847420553,"Later vs Earlier Treated"
1970,1968,-14.7633446629191,7.69467795574276e-05,"Later vs Earlier Treated"
1969,1968,-77.9100892623934,2.31418885887e-05,"Later vs Earlier Treated"
1973,1968,-86.6509173759115,6.94256657661001e-05,"Later vs Earlier Treated"
1967,1968,18.8050340213895,2.777026630644e-05,"Earlier vs Later Treated"
1971,1968,-130.718301844925,7.81038739868626e-05,"Later vs Earlier Treated"
1965,1968,22.389788542875,5.20692493245751e-06,"Earlier vs Later Treated"
1974,1970,4.60045842179597,0.00014579389810881,"Later vs Earlier Treated"
1972,1970,16.2321764841014,0.000192771931943871,"Later vs Earlier Treated"
1968,1970,-34.4357778807209,3.64484745272025e-05,"Earlier vs Later Treated"
1969,1970,-2.03298823914371,1.619932201209e-05,"Earlier vs Later Treated"
1973,1970,-14.7554738087217,5.83175592435241e-05,"Later vs Earlier Treated"
1967,1970,28.5265310319914,0.000116635118487048,"Earlier vs Later Treated"
1971,1970,-45.1940750768012,3.64484745272026e-05,"Later vs Earlier Treated"
1965,1970,68.9400240033436,1.21494915090675e-05,"Earlier vs Later Treated"
1974,1969,57.4091309584412,0.00010413849864915,"Later vs Earlier Treated"
1972,1969,35.3244235697635,0.000165233084523318,"Later vs Earlier Treated"
1968,1969,-46.9176248635097,1.0413849864915e-05,"Earlier vs Later Treated"
1970,1969,54.8673852767326,3.07787118229711e-05,"Later vs Earlier Treated"
1973,1969,-12.8364465125386,4.4432426090304e-05,"Later vs Earlier Treated"
1967,1969,-25.5281347163574,4.44324260903041e-05,"Earlier vs Later Treated"
1971,1969,-19.3842882050565,4.165539945966e-05,"Later vs Earlier Treated"
1965,1969,22.7864441713531,5.55405326128801e-06,"Earlier vs Later Treated"
1974,1973,-115.234744557888,1.56207747973725e-05,"Later vs Earlier Treated"
1972,1973,151.014989375422,3.15886779235755e-05,"Earlier vs Later Treated"
1968,1973,-182.016082289624,3.90519369934313e-05,"Earlier vs Later Treated"
1970,1973,-48.1566009658866,4.00933219799228e-05,"Earlier vs Later Treated"
1969,1973,-127.330068416564,2.777026630644e-05,"Earlier vs Later Treated"
1967,1973,-148.082567039091,9.99729587031841e-05,"Earlier vs Later Treated"
1971,1973,95.9622468812367,2.082769972983e-05,"Earlier vs Later Treated"
1965,1973,-160.548655785529,8.33107989193201e-06,"Earlier vs Later Treated"
1974,1967,47.3717462442772,0.000437381694326431,"Later vs Earlier Treated"
1972,1967,-44.2103636236307,0.000826165422616591,"Later vs Earlier Treated"
1968,1967,-37.3891375318412,7.2896949054405e-05,"Later vs Earlier Treated"
1970,1967,-11.8802642850708,0.000277008406406739,"Later vs Earlier Treated"
1969,1967,-104.660688899109,0.00011108106522576,"Later vs Earlier Treated"
1973,1967,-96.6449388577081,0.000199945917406368,"Later vs Earlier Treated"
1971,1967,-113.108302499162,0.00024993239675796,"Later vs Earlier Treated"
1965,1967,0.195608135602902,8.33107989193201e-06,"Earlier vs Later Treated"
1974,1971,-5.2503062153373,7.81038739868626e-05,"Later vs Earlier Treated"
1972,1971,41.8354967231296,6.88471185513826e-05,"Later vs Earlier Treated"
1968,1971,-121.950199214974,3.90519369934313e-05,"Earlier vs Later Treated"
1970,1971,-6.42755281504362,2.22740677666238e-05,"Earlier vs Later Treated"
1969,1971,-37.0309438514705,2.31418885887e-05,"Earlier vs Later Treated"
1973,1971,146.276592465701,2.777026630644e-05,"Later vs Earlier Treated"
1967,1971,-60.9476675138762,0.00011108106522576,"Earlier vs Later Treated"
1965,1971,-48.8168428733686,1.0413849864915e-05,"Earlier vs Later Treated"
1974,1965,175.26883173002,4.68623243921176e-05,"Later vs Earlier Treated"
1972,1965,127.410968142543,9.63859659719356e-05,"Later vs Earlier Treated"
1968,1965,79.4332455718916,1.82242372636013e-05,"Later vs Earlier Treated"
1970,1965,144.854534651836,3.84733897787138e-05,"Later vs Earlier Treated"
1969,1965,69.9909429532565,1.851351087096e-05,"Later vs Earlier Treated"
1973,1965,62.603877229141,2.2216213045152e-05,"Later vs Earlier Treated"
1967,1965,111.509529531365,3.0547292937084e-05,"Later vs Earlier Treated"
