"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",5,11,0.5,0.25,0.25,9,-25.2314251792593,-58.1840305883109,-78.3350299805698
"CS-NT","full_IF",5,11,0,0,0,8,-22.1330521340487,-63.859592278161,-85.8992157337934
