"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",2,5,0.25,1.25,1.25,5,0.129408100809989,0.598834789327713,0.959957391736889
"CS-NT","diag_clustered",2,5,0,1.5,1,5,0.129408100809993,0.598834789327718,0.959957391736893
