"estimator","time","coef","se"
"TWFE",-3,-0.0791181552188438,0.0451727525306535
"TWFE",-2,-0.0524768664438455,0.0315227756087888
"TWFE",-1,0,0
"TWFE",0,0.129408100809989,0.0571427094265606
"TWFE",1,0.318394846920357,0.137132597646151
"TWFE",2,0.680196444869464,0.233962189750593
"TWFE",3,0.906217162301867,0.290562991922038
"TWFE",4,0.959957391736889,0.291873486371417
"CS-NT",-3,-0.0791181552188361,0.0460391970545969
"CS-NT",-2,-0.0524768664438389,0.0320159312806177
"CS-NT",-1,0,NA
"CS-NT",0,0.129408100809993,0.060171145806232
"CS-NT",1,0.318394846920359,0.156494067511049
"CS-NT",2,0.680196444869467,0.239465166408402
"CS-NT",3,0.906217162301877,0.275032016971717
"CS-NT",4,0.959957391736893,0.285580886031256
"Gardner",-3,-0.017626573998972,0.0139129789229949
"Gardner",-2,-0.00430592961147367,0.0103093168439927
"Gardner",0,0.173273108030885,0.0591371301457228
"Gardner",1,0.362259854141249,0.143820729107435
"Gardner",2,0.724061452090354,0.238522105033582
"Gardner",3,0.950082169522771,0.293709181303789
"Gardner",4,1.00382239895778,0.295030305172163
