"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0,0.25,0.0341215587813313,0.0450430755060209,0.0732788124322834
"CS-NT","full_IF",2,4,0.25,0.25,0.25,0.0264497902478374,0.0405303373887053,0.0720612937190304
