"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",3,5,0,0,0,1,-0.000609851310868313,-0.000244353421394989,-0.000609851310868313
"CS-NT","full_IF",3,5,0,0,0,1,-0.000609851310866866,-0.000244353421393462,-0.000609851310866866
