"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.00357260024389277,0.00235119845110891
"TWFE","first",0.25,-0.00387795069208874,0.00271761898894407
"TWFE","first",0.5,-0.00430544131956308,0.00320617970605761
"TWFE","first",0.75,-0.00479400203667662,0.00375581051281035
"TWFE","first",1,-0.00534363284342936,0.00442758149884146
"TWFE","first",1.25,-0.00601540382946048,0.00516042257451178
"TWFE","first",1.5,-0.00674824490513079,0.00589326365018208
"TWFE","first",1.75,-0.00754215607044029,0.00668717481549159
"TWFE","first",2,-0.0082749971461106,0.0074810859808011
"TWFE","avg",0,-0.00352265765663005,0.0029858717280007
"TWFE","avg",0.25,-0.00493172071928207,0.00426073830849539
"TWFE","avg",0.5,-0.00701176619272076,0.00613948905869808
"TWFE","avg",0.75,-0.00936020463047413,0.00842082925537278
"TWFE","avg",1,-0.0117757413093062,0.0108363659342048
"TWFE","avg",1.25,-0.0143254744702955,0.0133190008541155
"TWFE","avg",1.5,-0.0168752076312849,0.0158016357740262
"TWFE","avg",1.75,-0.0194249407922743,0.0184184671760942
"TWFE","avg",2,-0.0220417721943423,0.0209682003370836
"TWFE","peak",0,-0.00357260024389277,0.00235119845110891
"TWFE","peak",0.25,-0.00387795069208874,0.00271761898894407
"TWFE","peak",0.5,-0.00430544131956308,0.00320617970605761
"TWFE","peak",0.75,-0.00479400203667662,0.00375581051281035
"TWFE","peak",1,-0.00534363284342936,0.00442758149884146
"TWFE","peak",1.25,-0.00601540382946048,0.00516042257451178
"TWFE","peak",1.5,-0.00674824490513079,0.00589326365018208
"TWFE","peak",1.75,-0.00754215607044029,0.00668717481549159
"TWFE","peak",2,-0.0082749971461106,0.0074810859808011
"CS-NT","first",0,-0.0029071887119057,0.00170587106235789
"CS-NT","first",0.25,-0.00333966306574291,0.00209029271021319
"CS-NT","first",0.5,-0.00391629553752586,0.00257081977003231
"CS-NT","first",0.75,-0.00454098071529072,0.00319550494779718
"CS-NT","first",1,-0.00530982401100132,0.00391629553752586
"CS-NT","first",1.25,-0.00612672001269383,0.00468513883323646
"CS-NT","first",1.5,-0.00699166872036826,0.00550203483492897
"CS-NT","first",1.75,-0.00785661742804268,0.0063669835426034
"CS-NT","first",2,-0.0087215661357171,0.00723193225027782
"CS-NT","avg",0,-0.00391275520969771,0.0034569002338106
"CS-NT","avg",0.25,-0.00535629596667357,0.0046725135028429
"CS-NT","avg",0.5,-0.0074836191874801,0.0067238608943349
"CS-NT","avg",0.75,-0.0099148457255447,0.00907911160308499
"CS-NT","avg",1,-0.0124980239222383,0.0116622897997786
"CS-NT","avg",1.25,-0.015233153777561,0.0143214438257868
"CS-NT","avg",1.5,-0.0178923078035692,0.0170565736811095
"CS-NT","avg",1.75,-0.0206274376588918,0.0197157277071176
"CS-NT","avg",2,-0.0233625675142145,0.0224508575624403
"CS-NT","peak",0,-0.0029071887119057,0.00170587106235789
"CS-NT","peak",0.25,-0.00333966306574291,0.00209029271021319
"CS-NT","peak",0.5,-0.00391629553752586,0.00257081977003231
"CS-NT","peak",0.75,-0.00454098071529072,0.00319550494779718
"CS-NT","peak",1,-0.00530982401100132,0.00391629553752586
"CS-NT","peak",1.25,-0.00612672001269383,0.00468513883323646
"CS-NT","peak",1.5,-0.00699166872036826,0.00550203483492897
"CS-NT","peak",1.75,-0.00785661742804268,0.0063669835426034
"CS-NT","peak",2,-0.0087215661357171,0.00723193225027782
