"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0.5,0.75,-0.0484921966523518,-0.120140535128034,-0.181597267240724
"CS-NT","full_IF",2,4,0,1,1,-0.0574900520024708,-0.122745284173899,-0.175852587903155
