"id","author_label","estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
267,"Bhalotra, Clarke, Gomes, Venkataramani (2022)","CS-NT","full_IF",2,4,0,0,0,-0.0136556598632221,-0.035372091584462,-0.0781026393721957
267,"Bhalotra, Clarke, Gomes, Venkataramani (2022)","TWFE","full",2,4,0,0,0,-0.0119629085646231,-0.0314871487792222,-0.053603108524866
271,"Sekhri, Shastry (2024)","TWFE","full",2,4,0.5,2,2,3.01726560048461,20.8424487633651,39.384069837757
281,"Steffens, Pereda (2025)","CS-NT","full_IF",3,5,0,0,0,-0.000609851310866866,-0.000244353421393462,-0.000609851310866866
281,"Steffens, Pereda (2025)","TWFE","full",3,5,0,0,0,-0.000609851310868313,-0.000244353421394989,-0.000609851310868313
290,"Arbogast et al. (2022)","CS-NT","full_IF",2,3,0,0,0,-0.00169068123706115,-0.00305247887665793,-0.00492346127818649
290,"Arbogast et al. (2022)","TWFE","full",2,4,0,0,0.25,-0.00187426590344624,-0.0051386101461187,-0.00751367194767234
305,"Brodeur, Yousaf (2020)","CS-NT","full_IF",2,4,0,0,0,-0.296237873653943,-0.88603354025651,-1.17553683343586
305,"Brodeur, Yousaf (2020)","TWFE","full",2,4,0,0,0,-0.121177231033252,-0.599935266560956,-1.05646079387084
309,"Johnson, Schwab, Koval (2024)","CS-NT","full_IF",4,6,0,0.25,0,-0.12726930179314,-0.186739828628894,-0.239414264281412
309,"Johnson, Schwab, Koval (2024)","TWFE","full",4,6,0.25,0.25,0.25,-0.111904855082189,-0.199219653091935,-0.323177403162751
311,"Galasso & Schankerman (2024)","CS-NT","full_IF",4,6,NA,1.5,1.25,0.674318409496851,0.644238593477122,0.726599451654352
311,"Galasso & Schankerman (2024)","TWFE","full",4,6,2,1.25,0.75,0.623105524077305,0.678879743264441,0.769852158311367
321,"Xu (2023)","CS-NT","full_IF",3,4,0.5,0.25,0.5,-0.145018538577774,-0.175764254617364,-0.288934492146789
321,"Xu (2023)","TWFE","full",3,4,0.25,0.25,0.75,-0.180039715260733,-0.189367158139583,-0.312461874226283
323,"Prem, Vargas, Mejia (2023)","CS-NT","diag_clustered",2,5,0,1.5,1,0.129408100809993,0.598834789327718,0.959957391736893
323,"Prem, Vargas, Mejia (2023)","TWFE","full",2,4,0.25,1.25,1.5,0.129408100809989,0.508554138725419,0.906217162301867
333,"Clarke, Muhlrad (2021)","CS-NT","full_IF",2,4,0.25,0.25,0.25,0.0264497902478374,0.0405303373887053,0.0720612937190304
333,"Clarke, Muhlrad (2021)","TWFE","full",2,4,0,0,0.25,0.0341215587813313,0.0450430755060209,0.0732788124322834
335,"Le Moglie, Sorrenti (2022)","CS-NT","full_IF",3,7,0,0,0,0.0164271593093872,0.0463593590016268,0.0744625755718776
335,"Le Moglie, Sorrenti (2022)","TWFE","full",3,7,0,0,0,0.0144558951472752,0.0291016875717451,0.0380145200182905
347,"Courtemanche et al. (2025)","CS-NT","full_IF",4,5,0,0,0,-0.234931357947504,-0.448002223969434,-0.669078767935425
347,"Courtemanche et al. (2025)","TWFE","full",4,5,0,0,0,0.105213647976643,-0.18354091465836,-0.414428022283427
359,"Anderson, Charles, Olivares, Rees (2019)","CS-NT","full_IF",2,4,0,0,0,-0.05693726488181,-0.0218206782599994,-0.05693726488181
359,"Anderson, Charles, Olivares, Rees (2019)","TWFE","full",2,4,0,0,0,-0.0352783038759954,-0.0245775541516404,-0.0352783038759954
380,"Kuziemko, Meckel, Rossin-Slater (2018)","CS-NT","full_IF",4,6,0,0,0,-0.21130505032829,-0.0149709822762856,0.589739038649414
380,"Kuziemko, Meckel, Rossin-Slater (2018)","TWFE","full",4,6,0,0,0,-0.474883678431444,-0.168329487451626,-0.474883678431444
