"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",4,6,0,0,0,2,1.21443290507123,0.915658235136284,1.91658835052841
"CS-NT","full_IF",4,6,0.25,0,0,6,2.15525113794844,1.14347109919936,2.71299211735139
