"estimator","time","coef","se"
"TWFE",-6,0.256079553988901,1.98560856531841
"TWFE",-5,0.918853838089408,1.7030505367989
"TWFE",-4,0.0430108976893711,1.51005652782472
"TWFE",-3,0.467907251519838,1.49972551390685
"TWFE",-2,-0.210770990034444,0.916059345990006
"TWFE",-1,0,0
"TWFE",0,1.21443290507123,1.02770228408031
"TWFE",1,1.91658835052841,1.1937013016474
"TWFE",2,0.85402003205185,1.53418587134784
"TWFE",3,0.375172344939578,1.77398883265141
"TWFE",4,-0.365691996530906,1.94286599576202
"TWFE",5,1.49942777475754,2.4522683420725
"CS-NT",-6,0.936061579447365,1.13846612684453
"CS-NT",-5,1.26899373115143,1.242796939566
"CS-NT",-4,0.55796498525038,1.35090849203801
"CS-NT",-3,-0.346061320219579,1.58006994950659
"CS-NT",-2,0.043448680797025,1.19826433720641
"CS-NT",-1,0,NA
"CS-NT",0,2.15525113794844,1.01843970573461
"CS-NT",1,1.32310319169987,0.560290504981591
"CS-NT",2,0.166205594939868,0.544535281065443
"CS-NT",3,0.691512105834333,0.474454104462989
"CS-NT",4,-0.188237552577744,0.38944796342828
"CS-NT",5,2.71299211735139,0.953070863415298
"CS-NYT",-6,-0.2721496870893,1.58612351721602
"CS-NYT",-5,0.715213448107332,1.34264810748003
"CS-NYT",-4,-0.58971131807591,1.65050477002289
"CS-NYT",-3,-0.174697076505136,1.40469855646776
"CS-NYT",-2,-0.555646423585625,1.46128942577282
"CS-NYT",-1,0,NA
"CS-NYT",0,1.71447099346144,1.34324615480316
"CS-NYT",1,-0.439812554905526,1.99786070287361
"CS-NYT",2,2.57894342429773,2.45439014513241
"CS-NYT",3,4.2248494314848,4.58948764932746
"CS-NYT",4,0.89005264515268,5.78742633578887
"CS-NYT",5,-0.307953649952539,3.43136704600773
"Gardner",-6,-0.0246938632215094,0.0506362632839606
"Gardner",-5,0.184714408908358,0.238397886330386
"Gardner",-4,-0.110566884466547,0.227792597008465
"Gardner",-3,0.132648370988179,0.256003720052293
"Gardner",-2,-0.0979235063880425,0.204359209539048
"Gardner",0,1.51166222513948,1.10719844888345
"Gardner",1,0.047422255613985,1.39161685663097
"Gardner",2,1.74155613555874,2.07774704606864
"Gardner",3,3.09969610266822,3.17641248877533
"Gardner",4,1.24619500055432,2.83358791423058
"Gardner",5,9.10860930431641,1.64220917565592
