"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0.5,0.5,0.75,-13.5342859216746,-34.0523941084951,-56.4652398183399
"CS-NT","full_IF",2,4,0.75,1,0.75,-15.4017030606919,-40.9587229680853,-60.9476812409556
