"treated","untreated","estimate","weight","type"
2010,99999,-33.2870055992912,0.292292578033358,"Treated vs Untreated"
2013,99999,-64.8729125869081,0.0426260009631981,"Treated vs Untreated"
2012,99999,3.19952913374237,0.164414575143764,"Treated vs Untreated"
2011,99999,-77.8232444066551,0.158325146434736,"Treated vs Untreated"
2009,99999,-40.7102204211025,0.197297490172517,"Treated vs Untreated"
2007,99999,-101.222840780254,0.0389723437377811,"Treated vs Untreated"
2014,99999,-34.5889957723762,0.00974308593444527,"Treated vs Untreated"
2008,99999,-38.2558788541953,0.0852520019263961,"Treated vs Untreated"
2013,2010,-19.6711661142272,0.000153838198964925,"Later vs Earlier Treated"
2012,2010,4.70414530399844,0.000461514596894776,"Later vs Earlier Treated"
2011,2010,-18.0566624634037,0.000266652878205871,"Later vs Earlier Treated"
2009,2010,-16.3616686303784,0.000276908758136866,"Earlier vs Later Treated"
2007,2010,-73.9646423029982,0.00012307055917194,"Earlier vs Later Treated"
2014,2010,20.0256563020575,4.10235197239801e-05,"Later vs Earlier Treated"
2008,2010,-13.7991720831532,0.0002051175986199,"Earlier vs Later Treated"
2010,2013,-14.1498633183731,0.000307676397929851,"Earlier vs Later Treated"
2012,2013,16.2000799103698,9.61488743530783e-05,"Earlier vs Later Treated"
2011,2013,-73.0047288523022,0.000138881707398891,"Earlier vs Later Treated"
2009,2013,-20.1120128488673,0.000230757298447388,"Earlier vs Later Treated"
2007,2013,-45.7786956930563,5.12793996549751e-05,"Earlier vs Later Treated"
2014,2013,25.685336577834,2.13664165229063e-06,"Later vs Earlier Treated"
2008,2013,-12.2204573869048,0.000106832082614531,"Earlier vs Later Treated"
2010,2012,-74.6311292158382,0.000615352795859701,"Earlier vs Later Treated"
2013,2012,-39.5067697223518,3.20496247843594e-05,"Later vs Earlier Treated"
2011,2012,-92.7768869707743,0.000208322561098336,"Earlier vs Later Treated"
2009,2012,-77.5529307129018,0.000519203921506623,"Earlier vs Later Treated"
2007,2012,-118.627134419833,0.000128198499137438,"Earlier vs Later Treated"
2014,2012,19.9015215748733,1.28198499137438e-05,"Later vs Earlier Treated"
2008,2012,-74.311848680343,0.000256396998274876,"Earlier vs Later Treated"
2010,2011,17.8711493533231,0.000266652878205871,"Earlier vs Later Treated"
2013,2011,-42.6065495243852,5.55526829595564e-05,"Later vs Earlier Treated"
2012,2011,9.22960960950285,0.000124993536659002,"Later vs Earlier Treated"
2009,2011,1.18309531740645,0.000299984487981604,"Earlier vs Later Treated"
2007,2011,-66.3948859186298,8.88842927352902e-05,"Earlier vs Later Treated"
2014,2011,8.28003535830469,1.66658048878669e-05,"Later vs Earlier Treated"
2008,2011,-12.927653373629,0.000166658048878669,"Earlier vs Later Treated"
2010,2009,-0.551719513135002,0.000461514596894776,"Later vs Earlier Treated"
2013,2009,-25.3113503725489,0.000153838198964925,"Later vs Earlier Treated"
2012,2009,19.630687861246,0.000519203921506623,"Later vs Earlier Treated"
2011,2009,-21.7595539021389,0.000399979317308806,"Later vs Earlier Treated"
2007,2009,-42.892497457444,6.15352795859701e-05,"Earlier vs Later Treated"
2014,2009,3.27819639310769,3.84595497412313e-05,"Later vs Earlier Treated"
2008,2009,8.75923208383311,7.69190994824626e-05,"Earlier vs Later Treated"
2010,2007,16.1768771183832,0.000615352795859701,"Later vs Earlier Treated"
2013,2007,7.05230692759789,0.00010255879930995,"Later vs Earlier Treated"
2012,2007,71.7440165919525,0.000384595497412313,"Later vs Earlier Treated"
2011,2007,-9.92620417413039,0.000355537170941161,"Later vs Earlier Treated"
2009,2007,15.8068013218942,0.000369211677515821,"Later vs Earlier Treated"
2014,2007,15.1026803646813,2.3930386505655e-05,"Later vs Earlier Treated"
2008,2007,9.81893850341845,0.000119651932528275,"Later vs Earlier Treated"
2010,2014,8.48403813773266,0.00016409407889592,"Earlier vs Later Treated"
2013,2014,-7.65267054975294,1.49564915660344e-05,"Earlier vs Later Treated"
2012,2014,54.9035703642962,7.69190994824627e-05,"Earlier vs Later Treated"
2011,2014,-30.6935557969164,8.33290244393345e-05,"Earlier vs Later Treated"
2009,2014,-6.93462118797393,0.000115378649223694,"Earlier vs Later Treated"
2007,2014,-76.1543554692129,2.3930386505655e-05,"Earlier vs Later Treated"
2008,2014,-8.66402466743876,5.12793996549751e-05,"Earlier vs Later Treated"
2010,2008,4.89572557729645,0.000512793996549751,"Later vs Earlier Treated"
2013,2008,-23.5484577094434,0.000106832082614531,"Later vs Earlier Treated"
2012,2008,25.5840487324597,0.000384595497412313,"Later vs Earlier Treated"
2011,2008,-36.3571958112315,0.000333316097757338,"Later vs Earlier Treated"
2009,2008,8.19017021768586,0.000230757298447388,"Later vs Earlier Treated"
2007,2008,-61.4210011673112,1.7093133218325e-05,"Earlier vs Later Treated"
2014,2008,5.65065728112777,2.56396998274875e-05,"Later vs Earlier Treated"
