"estimator","time","coef","se"
"TWFE",-3,2.22976796799389,6.02719406682348
"TWFE",-2,0.640519320215855,3.94607320238853
"TWFE",-1,0,0
"TWFE",0,-13.4775702780708,4.91729945614325
"TWFE",1,-28.1181468669561,6.92403926599645
"TWFE",2,-39.6026806999481,7.26142885413786
"TWFE",3,-48.716835036269,7.98600355331395
"CS-NT",-3,-4.66206808095904,6.36026453770766
"CS-NT",-2,0.299222067359314,3.70610050248536
"CS-NT",-1,0,NA
"CS-NT",0,-15.4017030606919,5.05954715271549
"CS-NT",1,-36.2667704620719,7.6694741514691
"CS-NT",2,-51.2187371086218,9.38117435472253
"CS-NT",3,-60.9476812409556,10.6248496167647
"CS-NYT",-3,-4.54658663796959,6.68474533175909
"CS-NYT",-2,0.354602559995674,3.62779905044557
"CS-NYT",-1,0,NA
"CS-NYT",0,-15.4755101999905,5.09905602310695
"CS-NYT",1,-36.4011265496582,7.70145763628636
"CS-NYT",2,-51.3399319343746,9.44377922600051
"CS-NYT",3,-61.0260505980274,11.004083030128
"SA",-3,3.65043432978752,5.37584548986185
"SA",-2,2.98069237454279,3.5583162441988
"SA",0,-13.4529183364139,4.33916508901251
"SA",1,-28.3992092481483,6.54615821209446
"SA",2,-38.570988783034,7.05951324286347
"SA",3,-46.9680765330026,8.06245240112433
"Gardner",-3,0.788364647724792,3.28802627303222
"Gardner",-2,0.922509062918981,2.06726334769964
"Gardner",0,-11.280068462747,5.43754451294158
"Gardner",1,-26.7628112807734,6.92883752333911
"Gardner",2,-36.4375520066336,7.55094956384384
"Gardner",3,-48.4887543623706,8.64433698970538
