"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0,0,-11.6463691468211,-11.3661202332495,-18.8994050954948
"CS-NT","full_IF",2,4,0,0,0,-8.29800097943294,-5.01096040522296,-8.29800097943294
