"estimator","target","Mbar","lb","ub"
"TWFE","first",0,0.454213816665277,4.28540861810282
"TWFE","first",0.25,0.217232694926871,4.71987400795656
"TWFE","first",0.5,-0.0197484268115318,5.11484254418723
"TWFE","first",0.75,-0.256729548549938,5.54930793404097
"TWFE","first",1,-0.49371067028834,5.94427647027165
"TWFE","first",1.25,-0.69119493840368,6.37874186012539
"TWFE","first",1.5,-0.928176060142086,6.77371039635607
"TWFE","first",1.75,-1.16515718188049,7.20817578620981
"TWFE","first",2,-1.36264144999583,7.68213802968662
"TWFE","avg",0,0.703413414450111,20.1980137577818
"TWFE","avg",0.25,0.10048763063574,21.604840586682
"TWFE","avg",0.5,-0.502438153178645,22.8106921543108
"TWFE","avg",0.75,-1.3063391982645,24.0165437219396
"TWFE","avg",1,-1.90926498207887,24.8204447670254
"TWFE","avg",1.25,-2.51219076589325,26.0262963346542
"TWFE","avg",1.5,-3.11511654970764,27.6340984248259
"TWFE","avg",1.75,-3.91901759479349,29.0409252537261
"TWFE","avg",2,-4.52194337860786,30.8497026051692
"TWFE","peak",0,-5.13856442033691,34.7366954814773
"TWFE","peak",0.25,-5.96073472759079,36.7921212496121
"TWFE","peak",0.5,-6.7829050348447,38.8475470177468
"TWFE","peak",0.75,-7.60507534209862,40.4918876322547
"TWFE","peak",1,-8.83833080297944,42.5473134003894
"TWFE","peak",1.25,-9.66050111023335,44.1916540148972
"TWFE","peak",1.5,-10.8937565711142,46.6581649366589
"TWFE","peak",1.75,-12.1270120319951,49.1246758584206
"TWFE","peak",2,-12.949182339249,52.0022719338093
"CS-NYT","first",0,0.959462014858422,2.9591828458265
"CS-NYT","first",0.25,0.797868412355951,3.14097564864178
"CS-NYT","first",0.5,0.595876409227863,3.36316685208268
"CS-NYT","first",0.75,0.353486005474156,3.6257564561492
"CS-NYT","first",1,0.0908964014076403,3.88834606021571
"CS-NYT","first",1.25,-0.191892402971684,4.19133406490785
"CS-NYT","first",1.5,-0.494880407663818,4.49432206959998
"CS-NYT","first",1.75,-0.797868412355951,4.81750927460492
"CS-NYT","first",2,-1.10085641704809,5.12049727929705
"CS-NYT","avg",0,0.959462014858422,2.9591828458265
"CS-NYT","avg",0.25,0.797868412355951,3.14097564864178
"CS-NYT","avg",0.5,0.595876409227863,3.36316685208268
"CS-NYT","avg",0.75,0.353486005474156,3.6257564561492
"CS-NYT","avg",1,0.0908964014076403,3.88834606021571
"CS-NYT","avg",1.25,-0.191892402971684,4.19133406490785
"CS-NYT","avg",1.5,-0.494880407663818,4.49432206959998
"CS-NYT","avg",1.75,-0.797868412355951,4.81750927460492
"CS-NYT","avg",2,-1.10085641704809,5.12049727929705
"CS-NYT","peak",0,0.959462014858422,2.9591828458265
"CS-NYT","peak",0.25,0.797868412355951,3.14097564864178
"CS-NYT","peak",0.5,0.595876409227863,3.36316685208268
"CS-NYT","peak",0.75,0.353486005474156,3.6257564561492
"CS-NYT","peak",1,0.0908964014076403,3.88834606021571
"CS-NYT","peak",1.25,-0.191892402971684,4.19133406490785
"CS-NYT","peak",1.5,-0.494880407663818,4.49432206959998
"CS-NYT","peak",1.75,-0.797868412355951,4.81750927460492
"CS-NYT","peak",2,-1.10085641704809,5.12049727929705
