"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","n_Mbar","first_lb_M0.00","first_ub_M0.00","first_lb_M0.25","first_ub_M0.25","first_lb_M0.50","first_ub_M0.50","first_lb_M0.75","first_ub_M0.75","first_lb_M1.00","first_ub_M1.00","first_lb_M1.25","first_ub_M1.25","first_lb_M1.50","first_ub_M1.50","first_lb_M1.75","first_ub_M1.75","first_lb_M2.00","first_ub_M2.00"
"TWFE","full",4,1,0,0,0,9,-1.37935713099189,1.99240474476606,-2.12863754782699,2.16269574859222,-3.11632537001871,2.29892855165315,-4.13807139297567,2.571394157775,-5.19387561669786,3.35473277537534,-6.21562163965481,4.34242059756706,-7.23736766261177,5.36416662052401,-8.29317188633395,6.38591264348097,-9.31491790929091,7.40765866643792
"CS-NYT","full_IF",4,1,1.5,1.5,1.5,9,1.21011685414994,3.01164420092956,1.13732787044168,3.12082767649196,1.04634164080634,3.26640564390849,0.900763673389807,3.46657534910623,0.700593968192072,3.7031395461581,0.464029771140202,3.9760982350641,0.209268328161269,4.23085967804303,-0.0636903607447348,4.5220156128761,-0.336649049650736,4.7949743017821
