"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",3,4,0.25,0.25,0.75,2,-0.180039715260733,-0.189367158139583,-0.312461874226283
"CS-NT","full_IF",3,4,0.5,0.25,0.5,2,-0.145018538577774,-0.175764254617364,-0.288934492146789
