"estimator","time","coef","se"
"TWFE",-5,-35.5546836722389,17.7668659795123
"TWFE",-4,-30.1410409028354,23.6980265796369
"TWFE",-3,-12.3330428501082,18.0858848589104
"TWFE",-2,-5.73721850182261,14.1089581711419
"TWFE",-1,0,0
"TWFE",0,1.44020003642497,18.6924940575507
"TWFE",1,17.0317477404913,14.9734993930953
"TWFE",2,-11.6883519463534,19.8335450073639
"TWFE",3,-30.1549242017987,19.7778928248344
"TWFE",4,-16.3336390366914,19.4022838023099
"CS-NT",-5,-55.2479262039923,20.2950684293169
"CS-NT",-4,-49.0701493904065,31.4671334672309
"CS-NT",-3,-24.1448206187372,25.80597923284
"CS-NT",-2,-4.37744131030421,14.1569405847638
"CS-NT",-1,0,NA
"CS-NT",0,29.1640330613687,22.0907193383324
"CS-NT",1,36.232144273687,21.3892162194455
"CS-NT",2,0.0173543222949588,25.087166139282
"CS-NT",3,-15.6890475614278,28.6079270735575
"CS-NT",4,12.1556383960143,23.1020859130704
"CS-NYT",-5,-39.9843435538084,23.2477641789699
"CS-NYT",-4,-33.2057612417844,33.8912554095125
"CS-NYT",-3,-17.427770985476,25.8701976372662
"CS-NYT",-2,-1.18181330787361,14.3384115160717
"CS-NYT",-1,0,NA
"CS-NYT",0,31.334419750537,24.8707562110158
"CS-NYT",1,31.6219596916054,21.6483343814813
"CS-NYT",2,-3.38615163063539,26.7910445168588
"CS-NYT",3,-15.6890475614278,26.8472638663086
"CS-NYT",4,12.1556383960143,22.1455477926625
"SA",-5,-61.2942203380602,20.3930983197003
"SA",-4,-52.9848320502465,28.1249732128044
"SA",-3,-24.429360807704,20.6647122509921
"SA",-2,-20.6104603118106,18.0340450151899
"SA",0,-7.78780589125188,18.3382129216156
"SA",1,15.0151898516573,18.6166214684752
"SA",2,-6.03015726222925,23.0870206257827
"SA",3,-30.5649760093073,19.4495781984457
"SA",4,-7.80703451990415,19.0188017296341
"Gardner",-5,-7.48303227486621,3.89630969973659
"Gardner",-4,-8.92560800072989,13.2806356302109
"Gardner",-3,3.91745835846691,6.58696347892768
"Gardner",-2,8.00601361688649,5.97392593094838
"Gardner",0,29.8082123330549,15.7182762258193
"Gardner",1,43.5563245030532,19.7487328577743
"Gardner",2,21.0038979472398,20.685648858036
"Gardner",3,5.52907628184559,18.5015989406876
"Gardner",4,20.8875359891064,16.4574962308465
