"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",5,7,0,0,0,3,0.0106820255090436,0.02141050025229,0.0503599734382252
"CS-NT","full_IF",5,7,0,0,0,3,0.00744488629420737,0.0217827624088116,0.0488742193348745
