"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",4,6,0,0,0,1,-0.474883678431444,-0.168329487451626,-0.474883678431444
"CS-NT","full_IF",4,6,0,0,0,6,-0.21130505032829,-0.0149709822762856,0.589739038649414
