"estimator","time","coef","se"
"TWFE",-5,0.00961853136896832,0.0117649991382908
"TWFE",-4,0.00260455640482403,0.011409408256129
"TWFE",-3,-0.00133587765453409,0.00993674957187635
"TWFE",-2,-0.00373130592909574,0.00824742570344397
"TWFE",-1,0,0
"TWFE",0,0.00269472754010027,0.00969492723394255
"TWFE",1,-0.00385803554219848,0.00947112372515566
"TWFE",2,0.00556076539511193,0.0225445801036161
"TWFE",3,0.00393358474544755,0.0111166388724697
"TWFE",4,-0.0150314821782376,0.00917688919765976
"CS-NT",-5,-0.0033401660716781,0.0150731270250357
"CS-NT",-4,-0.00033348312997621,0.012896514114482
"CS-NT",-3,-0.00749170767116482,0.0101462343976337
"CS-NT",-2,-0.00612544429042295,0.0119079715306553
"CS-NT",-1,0,NA
"CS-NT",0,0.00441939033359128,0.0110572306629049
"CS-NT",1,-0.0109551841142567,0.0121861265340544
"CS-NT",2,0.00703468932788678,0.00703572826549325
"CS-NT",3,-0.003308026730026,0.00882194350579026
"CS-NT",4,-0.0181896403396988,0.0110098824672766
"CS-NYT",-5,-0.00588073132746734,0.0152988969986218
"CS-NYT",-4,-0.00110994693510724,0.0137990172458708
"CS-NYT",-3,-0.00662144777598845,0.010902966164321
"CS-NYT",-2,-0.00637921342441548,0.0124982279680213
"CS-NYT",-1,0,NA
"CS-NYT",0,0.00572450034715182,0.0116725666185483
"CS-NYT",1,-0.00932191975244119,0.0122764031532633
"CS-NYT",2,0.0101997500355957,0.00614826273390868
"CS-NYT",3,-0.00270704706864842,0.00781603125843225
"CS-NYT",4,-0.0125062672865177,0.0123744196864606
"SA",-5,9.20137178269829e-05,0.0144656028827395
"SA",-4,0.000739435797895528,0.011793937299008
"SA",-3,-0.0071655173599125,0.00921139359041255
"SA",-2,-0.00671562544934801,0.0104521018107441
"SA",0,0.00403704567639112,0.00998667925497673
"SA",1,-0.0121791451979104,0.0128236734699331
"SA",2,0.00459562307282603,0.00548459462852561
"SA",3,-0.00192328834557996,0.00822562726835304
"SA",4,-0.0170365487626394,0.00882489822824057
"Gardner",-5,0.00567720623367967,0.00502945549526055
"Gardner",-4,7.20707865609531e-05,0.00720062894990978
"Gardner",-3,-0.00480106253716809,0.00606701517553422
"Gardner",-2,-0.00548765587887555,0.00494883078614741
"Gardner",0,0.00547789873575263,0.00810949580260364
"Gardner",1,-0.00397983166901398,0.0088905243885141
"Gardner",2,0.00533404897247848,0.0212035111561992
"Gardner",3,0.00554867488237493,0.00742255028610549
"Gardner",4,-0.0136486569076456,0.00783630479975659
