"treated","untreated","estimate","weight","type"
2012,99999,0.0218253968253979,0.196987857626765,"Treated vs Untreated"
2006,99999,0.113095238095234,0.0262650476835687,"Treated vs Untreated"
2010,99999,0.0453703703703723,0.126635051331492,"Treated vs Untreated"
2007,99999,-0.30879629629629,0.0562822450362187,"Treated vs Untreated"
2011,99999,-0.0856481481481463,0.0787951430507061,"Treated vs Untreated"
2008,99999,-0.150555555555553,0.0703528062952733,"Treated vs Untreated"
2009,99999,-0.0187500000000032,0.15008598676325,"Treated vs Untreated"
2006,2012,0.158333333333333,0.00938037417270311,"Earlier vs Later Treated"
2010,2012,-0.0766666666666682,0.0351764031476367,"Earlier vs Later Treated"
2007,2012,-0.306666666666669,0.0195424461931315,"Earlier vs Later Treated"
2011,2012,-0.172222222222222,0.0164156548022304,"Earlier vs Later Treated"
2008,2012,-0.138888888888891,0.0234509354317578,"Earlier vs Later Treated"
2009,2012,-0.0666666666666678,0.0469018708635155,"Earlier vs Later Treated"
2012,2006,0.141666666666667,0.00938037417270311,"Later vs Earlier Treated"
2010,2006,-0.0694444444444444,0.00562822450362187,"Later vs Earlier Treated"
2007,2006,-0.175,0.00156339569545052,"Later vs Earlier Treated"
2011,2006,-0.300000000000001,0.00364792328938454,"Later vs Earlier Treated"
2008,2006,-0.195000000000001,0.00260565949241753,"Later vs Earlier Treated"
2009,2006,-0.0458333333333333,0.00625358278180207,"Later vs Earlier Treated"
2012,2010,-0.149999999999999,0.00703528062952733,"Later vs Earlier Treated"
2006,2010,0.152777777777777,0.00187607483454062,"Earlier vs Later Treated"
2007,2010,-0.148148148148149,0.00351764031476367,"Earlier vs Later Treated"
2011,2010,-0.452380952380952,0.00164156548022304,"Later vs Earlier Treated"
2008,2010,0.118518518518519,0.00351764031476367,"Earlier vs Later Treated"
2009,2010,0.0527777777777771,0.00469018708635156,"Earlier vs Later Treated"
2012,2007,-0.0400000000000024,0.00977122309656574,"Later vs Earlier Treated"
2006,2007,0.549999999999999,0.000260565949241753,"Earlier vs Later Treated"
2010,2007,0.14074074074074,0.0052764604721455,"Later vs Earlier Treated"
2011,2007,-0.164285714285714,0.00364792328938454,"Later vs Earlier Treated"
2008,2007,0.279999999999999,0.00162853718276096,"Later vs Earlier Treated"
2009,2007,0.0250000000000003,0.00521131898483506,"Later vs Earlier Treated"
2012,2011,-0.0999999999999992,0.00273594246703841,"Later vs Earlier Treated"
2006,2011,-0.3,0.00182396164469227,"Earlier vs Later Treated"
2010,2011,-0.253968253968253,0.00410391370055761,"Earlier vs Later Treated"
2007,2011,-0.492857142857143,0.00364792328938454,"Earlier vs Later Treated"
2008,2011,-0.18095238095238,0.00410391370055761,"Earlier vs Later Treated"
2009,2011,-0.303571428571427,0.00729584657876909,"Earlier vs Later Treated"
2012,2008,0.0166666666666667,0.00781697847725259,"Later vs Earlier Treated"
2006,2008,0.075,0.000521131898483506,"Earlier vs Later Treated"
2010,2008,0.311111111111111,0.00351764031476367,"Later vs Earlier Treated"
2007,2008,0.2,0.000651414873104383,"Earlier vs Later Treated"
2011,2008,-0.0571428571428569,0.00273594246703841,"Later vs Earlier Treated"
2009,2008,-0.325,0.00260565949241753,"Later vs Earlier Treated"
2012,2009,-0.133333333333333,0.0117254677158789,"Later vs Earlier Treated"
2006,2009,0.0166666666666669,0.00156339569545052,"Earlier vs Later Treated"
2010,2009,-0.0111111111111111,0.00351764031476367,"Later vs Earlier Treated"
2007,2009,-0.350000000000001,0.00260565949241753,"Earlier vs Later Treated"
2011,2009,-0.435714285714284,0.00364792328938454,"Later vs Earlier Treated"
2008,2009,-0.5,0.00195424461931315,"Earlier vs Later Treated"
