"estimator","time","coef","se"
"TWFE",-5,-0.0296776853700951,0.0470541718244953
"TWFE",-4,0.0185391381590802,0.0554740039802464
"TWFE",-3,-0.037646847511179,0.0536629010810338
"TWFE",-2,0.0663823688005378,0.0534887818604437
"TWFE",-1,0,0
"TWFE",0,-0.0562809227497387,0.0532221883324188
"TWFE",1,0.0156119491453076,0.0658818508148614
"TWFE",2,0.0286761003741441,0.0630767595909202
"TWFE",3,-0.0731544969359499,0.064348320314806
"TWFE",4,-0.0345014018470385,0.077271385711507
"CS-NT",-5,0.00610719845323052,0.0554111380592235
"CS-NT",-4,-0.0318534020694905,0.0692711407991676
"CS-NT",-3,-0.103102841269529,0.0690148569575268
"CS-NT",-2,0.0528153890621225,0.0708439360160269
"CS-NT",-1,0,NA
"CS-NT",0,-0.0752127586099186,0.0511817293893675
"CS-NT",1,0.0235681993792304,0.0540742335389927
"CS-NT",2,0.0290499923787957,0.0628064542678204
"CS-NT",3,-0.113031873393782,0.0555065150648558
"CS-NT",4,0.0221204208797396,0.0454850467905412
"SA",-5,0.00571461815691862,0.0500581104287675
"SA",-4,-0.0134676212323402,0.0674492005413472
"SA",-3,-0.0928559298906107,0.0597349888912347
"SA",-2,0.0455821622334379,0.0495624425312137
"SA",0,-0.0653675039448642,0.0483016951079297
"SA",1,0.0177300052505185,0.0517291257637381
"SA",2,0.0236661535108824,0.0610863680841397
"SA",3,-0.119332526126429,0.0495279862945956
"SA",4,0.0275213669171536,0.0250172219941637
"Gardner",-5,-0.00585953312546817,0.0140697316429752
"Gardner",-4,0.0255552273000137,0.0315288538578073
"Gardner",-3,-0.0447392174037655,0.0288378150725169
"Gardner",-2,0.0411348492569478,0.0272635367355436
"Gardner",0,-0.0661092940809376,0.0473597042861947
"Gardner",1,-0.0379136816166576,0.0618970592058574
"Gardner",2,-0.0649682277523728,0.0983367285904537
"Gardner",3,-0.130636030114365,0.0968462747165591
"Gardner",4,-0.193585569289877,0.0694737343016017
