"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",3,5,0,0,0,4,-0.0562809227497387,-0.0239297544026551,-0.0731544969359499
"CS-NT","full_IF",3,5,0,0,0,4,-0.0752127586099186,-0.0227012038731869,-0.113031873393782
