"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","rm_peak_idx","att_first","att_avg","att_peak"
"TWFE","full",5,8,0,0,0,8,0.836726443871534,2.20950881495365,4.44866518837908
"CS-NT","full_IF",5,8,0,0,0,8,0.972958377404175,2.71165907153075,4.50292303815315
