"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.0281848833984895,0.00450291036543915
"TWFE","first",0.25,-0.031520372558074,0.00617065494523142
"TWFE","first",0.5,-0.035189410633617,0.00850549735694062
"TWFE","first",0.75,-0.0391919976251185,0.0118409865165252
"TWFE","first",1,-0.0435281335325784,0.0155100245920682
"TWFE","first",1.25,-0.0481978183559968,0.0198461604995281
"TWFE","first",1.5,-0.0538681499272905,0.0245158453229465
"TWFE","first",1.75,-0.0595384814985843,0.0295190790623233
"TWFE","first",2,-0.065208813069878,0.0341887638857417
"TWFE","avg",0,-0.0691657718662327,0.00586150609035874
"TWFE","avg",0.25,-0.0769811133200444,0.0113322451080268
"TWFE","avg",0.5,-0.0847964547738559,0.016802984125695
"TWFE","avg",0.75,-0.0949563986638111,0.0246183255795066
"TWFE","avg",1,-0.105897876699147,0.0339967353240805
"TWFE","avg",1.25,-0.118402423025246,0.0449382133594168
"TWFE","avg",1.5,-0.131688503496726,0.0574427596855154
"TWFE","avg",1.75,-0.146537652258968,0.0715103743023762
"TWFE","avg",2,-0.160605266875829,0.0855779889192371
"TWFE","peak",0,-0.106420688513454,-0.000545747120581752
"TWFE","peak",0.25,-0.118427125166253,0.00600321832639994
"TWFE","peak",0.5,-0.133708044542544,0.0169181607380362
"TWFE","peak",0.75,-0.151171952401162,0.032199080114327
"TWFE","peak",1,-0.170818848742108,0.049662987972945
"TWFE","peak",1.25,-0.193740227806544,0.0682183900727267
"TWFE","peak",1.5,-0.215570112629816,0.087865286413672
"TWFE","peak",1.75,-0.238491491694252,0.107512182754617
"TWFE","peak",2,-0.261412870758689,0.127159079095563
"CS-NT","first",0,-0.0354514368143364,0.00835479721102192
"CS-NT","first",0.25,-0.0408707647349992,0.0101612398512429
"CS-NT","first",0.5,-0.0462900926556621,0.0115160718314086
"CS-NT","first",0.75,-0.0512578099162697,0.0133225144716296
"CS-NT","first",1,-0.0566771378369326,0.0155805677719058
"CS-NT","first",1.25,-0.0620964657575955,0.0173870104121267
"CS-NT","first",1.5,-0.0679674043383136,0.0214515063526239
"CS-NT","first",1.75,-0.074289953579087,0.0259676129531763
"CS-NT","first",2,-0.0806125028198603,0.0309353302137839
"CS-NT","avg",0,-0.0927428177986508,0.0221386081196779
"CS-NT","avg",0.25,-0.102316269958512,0.0257286526796258
"CS-NT","avg",0.5,-0.113086403638355,0.0305153787595561
"CS-NT","avg",0.75,-0.125053218838181,0.0376954678794517
"CS-NT","avg",1,-0.137020034038007,0.0460722385193297
"CS-NT","avg",1.25,-0.150183530757815,0.0556456906791905
"CS-NT","avg",1.5,-0.165740390517589,0.0664158243590338
"CS-NT","avg",1.75,-0.18010056875738,0.0783826395588597
"CS-NT","avg",2,-0.195657428517154,0.0915461362786683
"CS-NT","peak",0,-0.161840733518339,0.00605820927608758
"CS-NT","peak",0.25,-0.177418985942564,0.00952004314813759
"CS-NT","peak",0.5,-0.194728155302814,0.0147127939562126
"CS-NT","peak",0.75,-0.217230075471139,0.0199055447642876
"CS-NT","peak",1,-0.239731995639464,0.0285601294444127
"CS-NT","peak",1.25,-0.262233915807789,0.0441383818686378
"CS-NT","peak",1.5,-0.286466752912139,0.0631784681649129
"CS-NT","peak",1.75,-0.31069959001649,0.0822185544611881
"CS-NT","peak",2,-0.336663344056865,0.104720474629513
