"treated","untreated","estimate","weight","type"
2012,99999,0.158757987222142,0.0628629635019116,"Treated vs Untreated"
2002,99999,-0.0950415430482505,0.240022224280026,"Treated vs Untreated"
2003,99999,-0.353545134818079,0.241450927995978,"Treated vs Untreated"
2010,99999,0.0844807361750495,0.0857222229571521,"Treated vs Untreated"
2013,99999,-0.05328436818932,0.0985805564007249,"Treated vs Untreated"
2005,99999,0.101788034683887,0.117868056566084,"Treated vs Untreated"
2000,99999,-0.153913438913436,0.114296297276203,"Treated vs Untreated"
2002,2012,-0.106181530157724,0.00158744857328059,"Earlier vs Later Treated"
2003,2012,-0.382954542453473,0.00154776235894858,"Earlier vs Later Treated"
2010,2012,-0.0191792011260963,0.000264574762213432,"Earlier vs Later Treated"
2013,2012,0.00342436631520521,3.96862143320149e-05,"Later vs Earlier Treated"
2005,2012,0.0438863073076507,0.00069450875081026,"Earlier vs Later Treated"
2000,2012,-0.138190412521363,0.000793724286640297,"Earlier vs Later Treated"
2012,2002,0.259548437595367,0.000529149524426865,"Later vs Earlier Treated"
2003,2002,-0.157727810052726,0.000343947190877462,"Later vs Earlier Treated"
2010,2002,0.0596831142902372,0.000634979429312238,"Later vs Earlier Treated"
2013,2002,0.0197302608778984,0.000873096715304327,"Later vs Earlier Treated"
2005,2002,8.81426262161493e-06,0.000436548357652164,"Later vs Earlier Treated"
2000,2002,0.0200555086135859,0.000264574762213432,"Earlier vs Later Treated"
2012,2003,0.212810516357422,0.000476234571984179,"Later vs Earlier Treated"
2002,2003,0.104773541291554,0.000317489714656119,"Earlier vs Later Treated"
2010,2003,0.0334575970967586,0.000555607000648208,"Later vs Earlier Treated"
2013,2003,-0.0222099622090673,0.000793724286640297,"Later vs Earlier Treated"
2005,2003,0.0775297338312332,0.000291032238434776,"Later vs Earlier Treated"
2000,2003,0.0974632581075035,0.000396862143320149,"Earlier vs Later Treated"
2012,2010,0.076149463653562,5.29149524426865e-05,"Later vs Earlier Treated"
2002,2010,-0.295528560876847,0.00126995885862448,"Earlier vs Later Treated"
2003,2010,-0.545279117730948,0.00120381516807112,"Earlier vs Later Treated"
2013,2010,0.0269065300623588,0.000119058642996045,"Later vs Earlier Treated"
2005,2010,-0.0489696184794104,0.000496077679150186,"Earlier vs Later Treated"
2000,2010,-0.352663803100586,0.000661436905533581,"Earlier vs Later Treated"
2012,2013,0.224144783886991,0.000291032238434776,"Earlier vs Later Treated"
2002,2013,-0.172794510017741,0.00349238686121731,"Earlier vs Later Treated"
2003,2013,-0.424084580861609,0.00343947190877462,"Earlier vs Later Treated"
2010,2013,0.155979720751444,0.000793724286640297,"Earlier vs Later Treated"
2005,2013,0.0615289211273187,0.00158744857328059,"Earlier vs Later Treated"
2000,2013,-0.241211333641637,0.00171973595438731,"Earlier vs Later Treated"
2012,2005,0.166203549930028,0.000185202333549403,"Later vs Earlier Treated"
2002,2005,-0.26411626736323,0.000476234571984179,"Earlier vs Later Treated"
2003,2005,-0.437285881776076,0.000343947190877462,"Earlier vs Later Treated"
2010,2005,0.0289895057678235,0.000198431071660074,"Later vs Earlier Treated"
2013,2005,-0.0474704504013047,0.000317489714656119,"Later vs Earlier Treated"
2000,2005,-0.257780456542969,0.000330718452766791,"Earlier vs Later Treated"
2012,2000,0.353416800498962,0.000317489714656119,"Later vs Earlier Treated"
2002,2000,0.0974631650107235,0.000370404667098805,"Later vs Earlier Treated"
2003,2000,-0.0925534994174288,0.000515920786316193,"Later vs Earlier Treated"
2010,2000,0.160046354929606,0.000396862143320149,"Later vs Earlier Treated"
2013,2000,0.105412412912418,0.000515920786316193,"Later vs Earlier Treated"
2005,2000,0.137468719482422,0.00036379029804347,"Later vs Earlier Treated"
2012,1990,0.273594823750582,0.000582064476869551,"Later vs Always Treated"
2002,1990,-0.0265777820632566,0.00222242800259283,"Later vs Always Treated"
2003,1990,-0.27733228756831,0.0022356567407035,"Later vs Always Treated"
2010,1990,0.191161497433979,0.000793724286640297,"Later vs Always Treated"
2013,1990,0.0728730585264123,0.000912782929636342,"Later vs Always Treated"
2005,1990,0.19299815495809,0.00109137089413041,"Later vs Always Treated"
2000,1990,-0.104566931724549,0.00105829904885373,"Later vs Always Treated"
