"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0,0,-0.0119629085646231,-0.0314871487792222,-0.053603108524866
"CS-NT","full_IF",2,4,0,0,0,-0.0136556598632221,-0.035372091584462,-0.0781026393721957
